Config,{"general": {"device": "cpu", "training_rounds": 100}, "dataset": "cifar10", "model": "cifar_lora_cnn", "loss_function": "CrossEntropyLoss", "aggregation": "close_optimal", "client_selection": {"method": "random", "round": 1, "client_selection_round": 1, "number": 10, "random_seed": 42}, "hyperparameters": {"training_rounds": 100, "local_epochs": 5, "selected_clients": 10, "client_selection_round": 1, "client_selection_method": "random", "optimizer": "Adam", "lr": 0.001, "momentum": 0.9, "weight_decay": 0.0001, "nesterov": false, "batch_size": 64, "shuffle": true, "trainer_type": "standard", "rank_ratio_list": [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]}, "rank_distribution": {"rank_ratio_list": [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]}, "rank_ratio_list": [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0], "rank_ratio_list_str": "[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]", "epoch": 5, "batch_size": 64}

round,accuracy,average_loss,perplexity,precision,recall,f1_score,matthews_correlation,mcc,total_test_samples
0,0.113,2.4342163551330565,11.406876269937827,0.04761197796813991,0.11299999999999999,0.03805287867556214,0.052721406041130535,0.052721406041130535,10000
1,0.4968,1.3729519468307496,3.946984804671456,0.5799272202498609,0.4968,0.4505232264784567,0.4568622724135895,0.4568622724135895,10000
2,0.5871,1.1577383205413818,3.182726821967756,0.6440625597819138,0.5871000000000001,0.5534498869145728,0.5530325501758908,0.5530325501758908,10000
3,0.6415,0.9969105718612671,2.709896851150863,0.6805704464383356,0.6415,0.6236222976883087,0.6096214692362736,0.6096214692362736,10000
4,0.6882,0.8910353601455688,2.4376521931244124,0.7114939318277794,0.6882,0.6803138444849335,0.6586578662094993,0.6586578662094993,10000
5,0.7213,0.8009488211631774,2.2276535709263703,0.7380602933105527,0.7213,0.7127261319091012,0.6940585176075759,0.6940585176075759,10000
6,0.728,0.7908201930046082,2.205204377924433,0.7461137236057829,0.728,0.7219860123486437,0.7010115643882571,0.7010115643882571,10000
7,0.74,0.7468419313430786,2.1103249309506866,0.7541217070182702,0.74,0.7328419171587838,0.7141227759375295,0.7141227759375295,10000
8,0.7457,0.7462450181007385,2.109065625939072,0.7655505633175123,0.7457,0.7392555864123519,0.7210871635712249,0.7210871635712249,10000
9,0.7568,0.7105407569885254,2.0350914510760263,0.7718716943130153,0.7568,0.7500977845628208,0.732769546585624,0.732769546585624,10000
10,0.7523,0.7328339778900147,2.0809696810466614,0.7703620911630615,0.7523000000000001,0.7460424976335981,0.7280803656621263,0.7280803656621263,10000
11,0.7691,0.6878724150657654,1.9894782433069023,0.7778690400767687,0.7691,0.7638731480013736,0.7455480517929061,0.7455480517929061,10000
12,0.7698,0.697347767829895,2.00841884420564,0.7829781052993583,0.7698,0.7634860011830876,0.7469009143404461,0.7469009143404461,10000
13,0.7702,0.7008854446411132,2.015536563650234,0.782859554794048,0.7702000000000001,0.76540521968757,0.7471614529303685,0.7471614529303685,10000
14,0.7753,0.684318023109436,1.9824194102030008,0.7875078918815961,0.7753,0.7673123292455069,0.7529992860062295,0.7529992860062295,10000
15,0.7795,0.674764121055603,1.963569756578713,0.7895942070032856,0.7795000000000001,0.7738317496822451,0.7571442232450042,0.7571442232450042,10000
16,0.7779,0.6764122278213501,1.9668085974241751,0.7912071711212192,0.7779,0.771918835608079,0.7559547463222253,0.7559547463222253,10000
17,0.7844,0.6716659925460815,1.9574957789753833,0.7949487167451303,0.7844,0.7791019366461737,0.7626996322851306,0.7626996322851306,10000
18,0.7857,0.6676537352561951,1.9496575373025478,0.7979661059865846,0.7857,0.7815125709032072,0.7641959295113987,0.7641959295113987,10000
19,0.7925,0.6476474056243896,1.911039635250934,0.7998014308456269,0.7925,0.7877955304393419,0.7712458648610496,0.7712458648610496,10000
20,0.7751,0.7010255996704101,2.015819071033314,0.7943699806168558,0.7750999999999999,0.7690787519847945,0.7534881691835682,0.7534881691835682,10000
21,0.7903,0.6382619509696961,1.8931875653512882,0.7949503583964415,0.7903,0.786412556215154,0.7683677851273956,0.7683677851273956,10000
22,0.7882,0.6645113983154297,1.9435406720603496,0.7965923911661613,0.7881999999999999,0.7828931692408693,0.7666572099651272,0.7666572099651272,10000
23,0.7879,0.666457297039032,1.9473262873908748,0.7992362298147754,0.7879,0.7833820983382846,0.766571497337835,0.766571497337835,10000
24,0.7932,0.6572050439834595,1.929392224975775,0.8015264346824302,0.7931999999999999,0.7884177169224744,0.7721270068621077,0.7721270068621077,10000
25,0.7952,0.6530421080589295,1.921376983812969,0.8019387491730766,0.7952,0.7910317532497222,0.7740814223372168,0.7740814223372168,10000
26,0.7932,0.6533195853233338,1.9219101962160652,0.8009819995615045,0.7932,0.7883834751944969,0.7720420025676487,0.7720420025676487,10000
27,0.7964,0.6397841566085816,1.8960715806139998,0.8034669828457817,0.7964,0.7928173560263226,0.7753300520755491,0.7753300520755491,10000
28,0.7945,0.6514804595947266,1.9183788100530819,0.8022212950430248,0.7945,0.7899089283614293,0.7734960942953283,0.7734960942953283,10000
29,0.7995,0.6439951040267944,1.9040726726069728,0.8059762280579053,0.7995000000000001,0.7951792541423648,0.7788382313657033,0.7788382313657033,10000
30,0.7964,0.6533633181571961,1.9219942486332864,0.8054145691939631,0.7964,0.7929142087871796,0.77555462689698,0.77555462689698,10000
31,0.802,0.6441195213317871,1.9043095869352242,0.8089190864634277,0.8019999999999999,0.7983718567113931,0.7815291248575345,0.7815291248575345,10000
32,0.794,0.686769017124176,1.9872842677450548,0.8080396949762833,0.7939999999999999,0.7891649129858961,0.7736322401545895,0.7736322401545895,10000
33,0.7975,0.6551095150947571,1.9253533610866478,0.8068493767940575,0.7975,0.7931175097687989,0.7769681184396138,0.7769681184396138,10000
34,0.8008,0.6417266401290893,1.899758247899045,0.8077635808813959,0.8008000000000001,0.7963049193184835,0.7803605521931669,0.7803605521931669,10000
35,0.7956,0.660539653301239,1.9358367332538011,0.8059375515570333,0.7956,0.7911857443325644,0.7748775639172967,0.7748775639172967,10000
36,0.7989,0.645566408920288,1.9070669031234764,0.8054661644220626,0.7988999999999999,0.7952552930794946,0.7779912974811298,0.7779912974811298,10000
37,0.7981,0.6587664129257202,1.9324070711043626,0.8065244419768938,0.7981,0.7938126306727551,0.7774505087882058,0.7774505087882058,10000
