Config,{"general": {"device": "cpu", "training_rounds": 100}, "dataset": "cifar10", "model": "cifar_lora_cnn", "loss_function": "CrossEntropyLoss", "aggregation": "close_optimal", "client_selection": {"method": "random", "round": 1, "client_selection_round": 1, "number": 10, "random_seed": 42}, "hyperparameters": {"training_rounds": 100, "local_epochs": 5, "selected_clients": 10, "client_selection_round": 1, "client_selection_method": "random", "optimizer": "Adam", "lr": 0.001, "momentum": 0.9, "weight_decay": 0.0001, "nesterov": false, "batch_size": 64, "shuffle": true, "trainer_type": "standard", "rank_ratio_list": [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]}, "rank_distribution": {"rank_ratio_list": [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]}, "rank_ratio_list": [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0], "rank_ratio_list_str": "[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]", "epoch": 5, "batch_size": 64}

round,accuracy,average_loss,perplexity,precision,recall,f1_score,matthews_correlation,mcc,total_test_samples
0,0.1059,2.5691761642456057,13.055064780304598,0.018724926525021387,0.1059,0.028008392548715032,0.013694999388090533,0.013694999388090533,10000
1,0.5066,1.329685898399353,3.779855942287624,0.5740459972133742,0.5065999999999999,0.4925766030431542,0.4632386830091944,0.4632386830091944,10000
2,0.6218,1.0402219289779664,2.829844969270119,0.6384682477510439,0.6218,0.6100910472802201,0.5840667721892513,0.5840667721892513,10000
3,0.6673,0.9260107761383056,2.524418593310382,0.6756659765265974,0.6672999999999999,0.6615925053827064,0.6325773047859042,0.6325773047859042,10000
4,0.7047,0.8196202733039856,2.2696378318044497,0.7065062868352328,0.7047,0.6993189846419852,0.6732815157896985,0.6732815157896985,10000
5,0.7173,0.7859940935134888,2.1945874819032714,0.7273411136862528,0.7173,0.7136700868435033,0.6877950719664981,0.6877950719664981,10000
6,0.7364,0.743501972770691,2.103288290691843,0.7414040193269832,0.7363999999999999,0.7324720353525428,0.7085905708130014,0.7085905708130014,10000
7,0.7465,0.7227372344970703,2.060064379498875,0.7524578460604384,0.7465,0.7425095851630811,0.719950285578377,0.719950285578377,10000
8,0.7613,0.6863205169677734,1.9863931702837674,0.7633348419840131,0.7613000000000001,0.7583284071809658,0.7356462713049973,0.7356462713049973,10000
9,0.7706,0.6686947017669678,1.9516881222084337,0.7722584616826701,0.7706000000000001,0.7674311230127021,0.7460001436043093,0.7460001436043093,10000
10,0.7697,0.6698852716445923,1.9540131270629926,0.7712387444981111,0.7697,0.7659938146214038,0.7450720126612111,0.7450720126612111,10000
11,0.7728,0.6716416452407837,1.9574481198082219,0.7772922969713312,0.7728,0.7694398943434105,0.7488173358116023,0.7488173358116023,10000
12,0.7775,0.6640028363227845,1.9425525124348915,0.7824545059780219,0.7775000000000001,0.77511028443948,0.7538677790787028,0.7538677790787028,10000
13,0.7865,0.6338710625648498,1.8848930135745052,0.7875299372583107,0.7865,0.7831020989997209,0.7635788443302506,0.7635788443302506,10000
14,0.7901,0.6319379543304443,1.8812528309360927,0.792083539518468,0.7901,0.7861511960736355,0.7677871771548891,0.7677871771548891,10000
15,0.7844,0.6533971261024475,1.9220592284080278,0.7900168855692902,0.7844,0.7802346997550536,0.7618828402705352,0.7618828402705352,10000
16,0.7906,0.6390155459403992,1.8946147996898999,0.7956860287887794,0.7906,0.7881348413876237,0.7683642049039285,0.7683642049039285,10000
17,0.7946,0.6238519397735596,1.8661023292978365,0.7978977789414676,0.7946,0.7913130301448007,0.7728440678208813,0.7728440678208813,10000
18,0.7941,0.6340406457901001,1.885212686915851,0.7967086249174195,0.7941,0.7910097418416835,0.7721750907857533,0.7721750907857533,10000
19,0.7981,0.6236513578414917,1.8657280604242312,0.8004955442946174,0.7981,0.7954628941597408,0.776516096309586,0.776516096309586,10000
