Config,{"general": {"device": "cpu", "training_rounds": 30}, "aggregation": "rbla", "rank_distribution": "[0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]", "epoch": 10, "dataset": "kmnist", "batch_size": 64, "model": "simple_lora_mlp", "loss_function": "CrossEntropyLoss", "client_selection": {"method": "random", "round": 1, "number": 10, "random_seed": 42}}

accuracy,average_loss,precision,recall,f1_score,total_test_samples
0.1141,2.301533765411377,0.10922628490429569,0.11409999999999998,0.047063576974429346,10000
0.0912,2.3019621089935303,0.08252355988766769,0.0912,0.06557218266590523,10000
0.1097,2.3336868644714355,0.04872334662786423,0.10969999999999999,0.03610498341155931,10000
0.1004,2.8825298221588134,0.02694915254237288,0.1004,0.020060420561635015,10000
0.1071,4.642947724151611,0.03396216668855405,0.1071,0.03421211570324224,10000
0.1003,3.3412549057006835,0.0700070049034324,0.10029999999999999,0.018790410722698707,10000
0.1167,2.509319352722168,0.03394711233517493,0.11669999999999998,0.0355803483149568,10000
0.1171,2.5069030170440674,0.07619742205290239,0.11709999999999995,0.044333129236070384,10000
0.1164,3.1357052211761474,0.022310678916176684,0.11639999999999999,0.03484130545415389,10000
0.1267,3.8333415489196776,0.06565074569273557,0.12669999999999998,0.06633874386401092,10000
0.0999,2.789046318435669,0.01001002004008016,0.0999,0.01819672131147541,10000
0.1185,2.7010265785217284,0.10195852850374335,0.11850000000000001,0.06147872277021086,10000
0.1125,2.774065814971924,0.022791212603184702,0.1125,0.037863515491385405,10000
0.125,3.398788395690918,0.06024961192789082,0.125,0.05578316749275107,10000
0.1054,3.0329929206848143,0.031127535258653354,0.10540000000000001,0.028315974007264884,10000
0.1328,2.8809234382629394,0.07073627973283056,0.1328,0.06697572451778992,10000
0.1078,2.8137390434265135,0.04318824443992175,0.1078,0.03273809945524115,10000
0.1276,3.066161833953857,0.04929164274232883,0.12760000000000002,0.06254945248961323,10000
0.141,3.234751812362671,0.052030507306071686,0.141,0.055926353724325216,10000
0.1368,2.7028384902954103,0.06776352660155202,0.13679999999999998,0.06366814517343748,10000
0.1521,2.932993405914307,0.11716852355467,0.15209999999999999,0.08002956673146581,10000
0.1211,3.0525549671173096,0.06584084860881372,0.12110000000000001,0.05502981706237022,10000
0.1776,3.2446300380706785,0.11964983477736588,0.1776,0.12979335065965206,10000
0.1291,2.6098000270843507,0.05401670445001525,0.1291,0.057968623303653724,10000
0.1789,2.907677103805542,0.12271670396773433,0.1789,0.12730081315817893,10000
0.1255,3.1503421211242677,0.06390033804569298,0.1255,0.058222669707114295,10000
0.1891,3.294041874694824,0.12968561604008175,0.1891,0.13927484640797164,10000
0.1153,2.5245704166412355,0.061328056060972615,0.1153,0.04377712691835726,10000
0.1396,2.8064840000152587,0.13947261888977944,0.1396,0.08584304782385963,10000
0.131,3.300015970993042,0.04751094235720292,0.131,0.06063926283535601,10000
0.2108,3.400501814651489,0.12508051640511836,0.21080000000000002,0.15074331556006848,10000
