Config,{"general": {"device": "cpu", "training_rounds": 100}, "dataset": "fmnist", "model": "mnist_nn_brenden", "loss_function": "CrossEntropyLoss", "aggregation": "fedavg", "client_selection": {"method": "fedgra_standard", "round": 1, "client_selection_round": 1, "number": 2, "random_seed": 42, "fedgra_mode": "all_participate", "min_participate_round": 100}, "hyperparameters": {"training_rounds": 100, "local_epochs": 3, "selected_clients": 2, "client_selection_round": 1, "client_selection_method": "fedgra_standard", "optimizer": "SGD", "lr": 0.01, "momentum": 0.0, "weight_decay": 0.0001, "nesterov": false, "batch_size": 64, "shuffle": true, "trainer_type": "standard"}, "rank_distribution": {}, "rank_ratio_list": [], "rank_ratio_list_str": "", "epoch": 3, "batch_size": 64}

round,accuracy,average_loss,precision,recall,f1_score,mcc,total_test_samples
0,0.1828,2.7677062511444093,0.037231831785464534,0.1828,0.06164016634510862,0.12502957042729057,10000
1,0.1503,3.662463385772705,0.04537168515838006,0.15030000000000002,0.06143284265497819,0.10476121258905255,10000
2,0.181,4.046125286483765,0.03733354894923088,0.181,0.06148940253127908,0.12360575044394055,10000
3,0.1979,4.456120246124268,0.11098382420261912,0.19790000000000002,0.08808234366522197,0.14409014384410998,10000
4,0.1862,1.0382988086246901e+24,0.10784168273200208,0.1862,0.0677929360594652,0.13035717593859822,10000
5,0.2369,70129.73865205688,0.09260638530356598,0.23690000000000003,0.11938839287444003,0.1887985649121962,10000
6,0.2434,174622114005075.56,0.12162295677249797,0.2434,0.13452289966297862,0.20341127952933927,10000
7,0.2694,4.804021112442016,0.1815963828127134,0.26940000000000003,0.15164486121241427,0.2225469622343694,10000
8,0.1853,7.767264569018922e+23,0.20061739900933134,0.1853,0.11088536926097334,0.1351296614660298,10000
9,0.1923,49854.32453908539,0.03932760947064575,0.1923,0.06514539624280438,0.1387053541098794,10000
10,0.1951,6.571282834136227e+28,0.06221455201804392,0.1951,0.08744848076980964,0.18005261969907335,10000
11,0.2005,5.202194696044922,0.10990216063881966,0.20049999999999998,0.07880676821566476,0.15255761725085615,10000
12,0.1978,281287619929288.75,0.05229397012655353,0.1978,0.07927574238365029,0.1678997356176658,10000
13,0.208,5.420230383300781,0.11992490980891057,0.20800000000000002,0.09099195373918903,0.16350528426477942,10000
14,0.1983,1.1064034793898534e+24,0.0501252626714803,0.1983,0.07726161689353299,0.16489296402167786,10000
15,0.2693,227919730698726.5,0.13417456761533267,0.2693,0.154459431886551,0.24653043890332854,10000
16,0.198,5.258133632659912,0.17284832402748176,0.198,0.07643883020893759,0.15434537087620415,10000
17,0.1987,5.333866817474365,0.043985855018821476,0.19870000000000002,0.07097234011425661,0.15492814305065106,10000
18,0.2053,63858.022473086545,0.16425472020786702,0.20529999999999998,0.08854342319869583,0.16577392770132104,10000
19,0.1993,5.520179271697998,0.14438561109768322,0.19929999999999998,0.07204927352293741,0.15626195021947073,10000
20,0.2187,5.730862464141846,0.22912231157601695,0.21869999999999998,0.11051782703808075,0.18402428387227876,10000
21,0.207,274535601486488.28,0.15184373864127318,0.207,0.08692382993119577,0.16672188450527986,10000
22,0.2343,6.172984911046451e+28,0.236027259779985,0.2343,0.13374823784244677,0.20446950524039934,10000
23,0.2163,87570.89369967957,0.13887857655891717,0.2163,0.1029074361800602,0.1764657871555942,10000
24,0.2518,5.881027336120606,0.23630833272218163,0.25179999999999997,0.1583732923866866,0.22700751708274094,10000
25,0.2327,5.868286777877808,0.14317056518397112,0.2327,0.1258437796507104,0.19456032882592156,10000
26,0.2633,6.630086533427331e+28,0.23697637271501715,0.2633,0.17231795774798925,0.24165337052013994,10000
27,0.2476,5.957646848297119,0.14502323181071738,0.2476,0.14236241002297206,0.20979252592804562,10000
28,0.2779,240857752742244.66,0.2360475234069185,0.2779,0.18920097459964572,0.2592286129888649,10000
29,0.2631,6.048484017944336,0.14749885534392326,0.2631,0.15676763214305794,0.22579348476233244,10000
30,0.2886,6.1259093109130855,0.2363374652890052,0.2886,0.2007430468980028,0.2719865399693271,10000
31,0.2723,6.142756610107422,0.14638283105463276,0.2723,0.16434100253105952,0.23555960602743387,10000
32,0.3006,6.194961779785157,0.2330946529399332,0.30060000000000003,0.21116155203212011,0.28540558352315926,10000
33,0.2813,6.277860454559326,0.14878277214745877,0.2813,0.17124161206647098,0.2448175755983914,10000
34,0.3054,7.336218363811056e+28,0.2314357816916118,0.3054,0.2149674783361811,0.2913004440063998,10000
35,0.3151,263430121729089.75,0.2096774124874349,0.3151,0.2158472703907867,0.2869437466159764,10000
36,0.2566,5.534097845458985,0.22181569947896596,0.2566,0.1465121271193001,0.23285239013397802,10000
37,0.2837,80565.09738054809,0.16783684852430064,0.2837,0.17905885482984418,0.2516192938985144,10000
38,0.2592,5.78007700881958,0.2118602319150989,0.2592,0.15564460209143147,0.23913788993279284,10000
39,0.2921,5.863934999465942,0.17227313408638362,0.29209999999999997,0.18619296389530876,0.2594833746473423,10000
40,0.2632,323846911285847.06,0.2005149393600451,0.2632,0.15956009506836327,0.24276837077501698,10000
41,0.2996,80862.90052003479,0.17500035659017135,0.29960000000000003,0.1919929453879618,0.26733633313666466,10000
42,0.2691,6.027546788024902,0.19320931565817837,0.2691,0.16919648059479614,0.2498299073809568,10000
