round,selected_clients,weight_divergence,loss
0,client.1@group-1;client.2@group-1,0.381131,0.618869
1,client.6@group-1;client.10@group-1,0.556480,0.443520
2,client.1@group-1;client.2@group-1,0.776051,0.223949
3,client.6@group-1;client.10@group-1,0.697883,0.302117
4,client.1@group-1;client.2@group-1,0.784376,0.215624
5,client.6@group-1;client.10@group-1,0.680039,0.319961
6,client.1@group-1;client.2@group-1,0.767086,0.232914
7,client.6@group-1;client.10@group-1,0.666275,0.333725
8,client.2@group-1;client.3@group-1,0.759961,0.240039
9,client.1@group-1;client.6@group-1,0.681478,0.318522
10,client.3@group-1;client.10@group-1,0.767112,0.232888
11,client.1@group-1;client.6@group-1,0.766408,0.233592
12,client.3@group-1;client.10@group-1,0.741438,0.258562
13,client.1@group-1;client.6@group-1,0.746816,0.253184
14,client.3@group-1;client.10@group-1,0.730048,0.269952
15,client.1@group-1;client.2@group-1,0.726458,0.273542
16,client.3@group-1;client.6@group-1,0.646017,0.353983
17,client.1@group-1;client.10@group-1,0.744864,0.255136
18,client.3@group-1;client.6@group-1,0.665993,0.334007
19,client.1@group-1;client.10@group-1,0.737427,0.262573
20,client.3@group-1;client.6@group-1,0.676344,0.323656
21,client.1@group-1;client.10@group-1,0.728775,0.271225
22,client.3@group-1;client.6@group-1,0.677578,0.322422
23,client.1@group-1;client.10@group-1,0.717310,0.282690
24,client.3@group-1;client.6@group-1,0.674741,0.325259
25,client.1@group-1;client.10@group-1,0.711634,0.288366
26,client.3@group-1;client.6@group-1,0.679596,0.320404
27,client.1@group-1;client.10@group-1,0.701424,0.298576
28,client.3@group-1;client.6@group-1,0.673287,0.326713
29,client.1@group-1;client.10@group-1,0.692558,0.307442
30,client.3@group-1;client.6@group-1,0.670690,0.329310
31,client.1@group-1;client.10@group-1,0.689438,0.310562
32,client.3@group-1;client.6@group-1,0.667244,0.332756
33,client.1@group-1;client.10@group-1,0.680190,0.319810
34,client.3@group-1;client.6@group-1,0.666874,0.333126
35,client.1@group-1;client.2@group-1,0.677761,0.322239
36,client.3@group-1;client.10@group-1,0.613123,0.386877
37,client.1@group-1;client.6@group-1,0.644323,0.355677
38,client.3@group-1;client.10@group-1,0.656467,0.343533
39,client.1@group-1;client.6@group-1,0.674597,0.325403
40,client.3@group-1;client.10@group-1,0.661254,0.338746
41,client.1@group-1;client.6@group-1,0.680314,0.319686
42,client.3@group-1;client.10@group-1,0.646054,0.353946
43,client.1@group-1;client.6@group-1,0.687206,0.312794
44,client.3@group-1;client.10@group-1,0.653954,0.346046
45,client.1@group-1;client.6@group-1,0.690172,0.309828
46,client.3@group-1;client.10@group-1,0.656422,0.343578
47,client.1@group-1;client.6@group-1,0.685641,0.314359
48,client.2@group-1;client.3@group-1,0.642931,0.357069
49,client.1@group-1;client.10@group-1,0.595379,0.404621
50,client.2@group-1;client.6@group-1,0.577998,0.422002
51,client.1@group-1;client.10@group-1,0.728317,0.271683
52,client.2@group-1;client.6@group-1,0.624081,0.375919
53,client.1@group-1;client.10@group-1,0.724227,0.275773
54,client.2@group-1;client.6@group-1,0.621148,0.378852
55,client.1@group-1;client.10@group-1,0.714705,0.285295
56,client.2@group-1;client.6@group-1,0.625570,0.374430
57,client.1@group-1;client.10@group-1,0.713838,0.286162
58,client.2@group-1;client.6@group-1,0.623875,0.376125
59,client.3@group-1;client.10@group-1,0.710037,0.289963
60,client.1@group-1;client.6@group-1,0.633134,0.366866
61,client.3@group-1;client.10@group-1,0.671655,0.328345
62,client.1@group-1;client.6@group-1,0.678634,0.321366
63,client.3@group-1;client.10@group-1,0.665822,0.334178
64,client.1@group-1;client.6@group-1,0.691148,0.308852
65,client.3@group-1;client.10@group-1,0.666868,0.333132
66,client.1@group-1;client.6@group-1,0.700109,0.299891
67,client.3@group-1;client.10@group-1,0.669059,0.330941
68,client.1@group-1;client.6@group-1,0.699026,0.300974
69,client.3@group-1;client.10@group-1,0.663209,0.336791
70,client.1@group-1;client.6@group-1,0.698550,0.301450
71,client.3@group-1;client.10@group-1,0.657937,0.342063
72,client.1@group-1;client.6@group-1,0.698802,0.301198
73,client.3@group-1;client.10@group-1,0.661937,0.338063
74,client.1@group-1;client.6@group-1,0.700522,0.299478
75,client.3@group-1;client.10@group-1,0.653455,0.346545
76,client.1@group-1;client.6@group-1,0.703355,0.296645
77,client.3@group-1;client.10@group-1,0.656491,0.343509
78,client.1@group-1;client.6@group-1,0.701584,0.298416
79,client.3@group-1;client.10@group-1,0.662253,0.337747
80,client.1@group-1;client.6@group-1,0.704239,0.295761
81,client.3@group-1;client.10@group-1,0.654450,0.345550
82,client.1@group-1;client.6@group-1,0.701304,0.298696
