round,selected_clients,weight_divergence,loss
0,client.2@group-1;client.7@group-1,0.303498,0.696502
1,client.1@group-1;client.5@group-1,0.707579,0.292421
2,client.2@group-1;client.6@group-1,0.670378,0.329622
3,client.1@group-1;client.5@group-1,0.698040,0.301960
4,client.4@group-1;client.6@group-1,0.603809,0.396191
5,client.1@group-1;client.5@group-1,0.743385,0.256615
6,client.4@group-1;client.6@group-1,0.742396,0.257604
7,client.5@group-1;client.6@group-1,0.737937,0.262063
8,client.2@group-1;client.4@group-1,0.721818,0.278182
9,client.1@group-1;client.5@group-1,0.697374,0.302626
10,client.4@group-1;client.6@group-1,0.660308,0.339692
11,client.1@group-1;client.6@group-1,0.709624,0.290376
12,client.2@group-1;client.6@group-1,0.802310,0.197690
13,client.1@group-1;client.5@group-1,0.724570,0.275430
14,client.4@group-1;client.6@group-1,0.716514,0.283486
15,client.1@group-1;client.5@group-1,0.651655,0.348345
16,client.2@group-1;client.6@group-1,0.767378,0.232622
17,client.4@group-1;client.5@group-1,0.622010,0.377990
18,client.1@group-1;client.6@group-1,0.699524,0.300476
19,client.2@group-1;client.4@group-1,0.683437,0.316563
20,client.1@group-1;client.5@group-1,0.716252,0.283748
21,client.4@group-1;client.6@group-1,0.586202,0.413798
22,client.1@group-1;client.5@group-1,0.617957,0.382043
23,client.2@group-1;client.6@group-1,0.666967,0.333033
24,client.1@group-1;client.4@group-1,0.595080,0.404920
25,client.2@group-1;client.5@group-1,0.726920,0.273080
26,client.4@group-1;client.6@group-1,0.680763,0.319237
27,client.1@group-1;client.2@group-1,0.572771,0.427229
28,client.5@group-1;client.6@group-1,0.637037,0.362963
29,client.2@group-1;client.4@group-1,0.714589,0.285411
30,client.1@group-1;client.5@group-1,0.724969,0.275031
31,client.4@group-1;client.6@group-1,0.622779,0.377221
32,client.1@group-1;client.2@group-1,0.613421,0.386579
33,client.5@group-1;client.6@group-1,0.659650,0.340350
34,client.1@group-1;client.4@group-1,0.679894,0.320106
35,client.1@group-1;client.2@group-1,0.725295,0.274705
36,client.5@group-1;client.6@group-1,0.674595,0.325405
37,client.1@group-1;client.4@group-1,0.668398,0.331602
38,client.2@group-1;client.6@group-1,0.714412,0.285588
39,client.4@group-1;client.5@group-1,0.629796,0.370204
40,client.1@group-1;client.2@group-1,0.670449,0.329551
41,client.1@group-1;client.6@group-1,0.644212,0.355788
42,client.4@group-1;client.5@group-1,0.636105,0.363895
43,client.1@group-1;client.2@group-1,0.650088,0.349912
44,client.4@group-1;client.6@group-1,0.586419,0.413581
45,client.1@group-1;client.2@group-1,0.619684,0.380316
46,client.5@group-1;client.6@group-1,0.655469,0.344531
47,client.1@group-1;client.4@group-1,0.645754,0.354246
48,client.1@group-1;client.2@group-1,0.703638,0.296362
49,client.5@group-1;client.6@group-1,0.648865,0.351135
50,client.1@group-1;client.2@group-1,0.652704,0.347296
51,client.1@group-1;client.4@group-1,0.615092,0.384908
52,client.5@group-1;client.6@group-1,0.729073,0.270927
53,client.1@group-1;client.4@group-1,0.648937,0.351063
54,client.2@group-1;client.6@group-1,0.701858,0.298142
55,client.1@group-1;client.4@group-1,0.571156,0.428844
56,client.1@group-1;client.2@group-1,0.731109,0.268891
57,client.5@group-1;client.6@group-1,0.654710,0.345290
58,client.1@group-1;client.2@group-1,0.633436,0.366564
59,client.4@group-1;client.6@group-1,0.565653,0.434347
60,client.1@group-1;client.2@group-1,0.657027,0.342973
61,client.4@group-1;client.6@group-1,0.645444,0.354556
62,client.1@group-1;client.2@group-1,0.650202,0.349798
63,client.5@group-1;client.6@group-1,0.640708,0.359292
64,client.1@group-1;client.4@group-1,0.601812,0.398188
65,client.1@group-1;client.2@group-1,0.684016,0.315984
66,client.4@group-1;client.6@group-1,0.633230,0.366770
67,client.2@group-1;client.5@group-1,0.639233,0.360767
68,client.1@group-1;client.6@group-1,0.612329,0.387671
69,client.2@group-1;client.4@group-1,0.598520,0.401480
70,client.1@group-1;client.6@group-1,0.691380,0.308620
71,client.4@group-1;client.5@group-1,0.636736,0.363264
72,client.1@group-1;client.6@group-1,0.695645,0.304355
73,client.2@group-1;client.4@group-1,0.569515,0.430485
74,client.1@group-1;client.6@group-1,0.725620,0.274380
75,client.4@group-1;client.5@group-1,0.612707,0.387293
76,client.1@group-1;client.2@group-1,0.656258,0.343742
77,client.6@group-1;client.9@group-1,0.617154,0.382846
78,client.4@group-1;client.9@group-1,0.640097,0.359903
79,client.1@group-1;client.9@group-1,0.762775,0.237225
80,client.2@group-1;client.6@group-1,0.743186,0.256814
81,client.1@group-1;client.5@group-1,0.657218,0.342782
82,client.4@group-1;client.9@group-1,0.604242,0.395758
83,client.5@group-1;client.9@group-1,0.683594,0.316406
84,client.1@group-1;client.2@group-1,0.745422,0.254578
85,client.4@group-1;client.6@group-1,0.656415,0.343585
86,client.2@group-1;client.9@group-1,0.700260,0.299740
87,client.5@group-1;client.6@group-1,0.650338,0.349662
88,client.1@group-1;client.4@group-1,0.687128,0.312872
89,client.2@group-1;client.6@group-1,0.643252,0.356748
90,client.4@group-1;client.9@group-1,0.566302,0.433698
91,client.1@group-1;client.2@group-1,0.697076,0.302924
92,client.5@group-1;client.9@group-1,0.652195,0.347805
93,client.1@group-1;client.2@group-1,0.710986,0.289014
94,client.4@group-1;client.9@group-1,0.566474,0.433526
95,client.2@group-1;client.5@group-1,0.690116,0.309884
96,client.1@group-1;client.6@group-1,0.653312,0.346688
97,client.4@group-1;client.9@group-1,0.566012,0.433988
98,client.2@group-1;client.6@group-1,0.660943,0.339057
99,client.1@group-1;client.3@group-1,0.584107,0.415893
100,client.4@group-1;client.6@group-1;client.7@group-1,0.760852,0.239148
