round,accuracy,loss,round_time,max_waiting_time,var_waiting_time,server_wait_time,number_of_participated_clients,learning_rate,number_of_selected_clients,client_selection_round
0,0.10679999738931656,10.065035820007324,24.73212218284607,0.33620309829711914,0.009198987927032363,4.899310111999512,10,0.1,10,2
1,0.1624000072479248,8.822576522827148,9.470866203308105,0.2610197067260742,0.005129615657847353,4.347130060195923,10,0.1,10,2
2,0.17649999260902405,7.327013969421387,25.321630716323853,0.3484385013580322,0.010630941105750935,4.476787567138672,10,0.1,10,2
3,0.1868000030517578,6.637575149536133,9.578207731246948,0.23058104515075684,0.005425073643885411,4.60609769821167,10,0.1,10,2
4,0.1868000030517578,6.3565754890441895,23.612852334976196,0.06780886650085449,0.00047338418243953134,4.255006551742554,10,0.1,10,2
5,0.22360000014305115,6.417689800262451,10.013633489608765,0.14235687255859375,0.001649179443543289,4.965107440948486,10,0.1,10,2
6,0.35030001401901245,6.230046272277832,24.365315198898315,0.19372129440307617,0.0033977857515202457,4.384388446807861,10,0.1,10,2
7,0.3379000127315521,5.264071941375732,9.673151969909668,0.1604456901550293,0.0022266371982829014,4.705698490142822,10,0.1,10,2
8,0.17579999566078186,5.586611747741699,22.680816411972046,0.3466982841491699,0.009913867441060233,3.495234727859497,10,0.1,10,2
9,0.19259999692440033,6.723985195159912,9.806185960769653,0.11010003089904785,0.0012846446615208153,4.681813955307007,10,0.1,10,2
10,0.17759999632835388,6.447889804840088,24.648996353149414,0.24066472053527832,0.003737138305041867,4.250169038772583,10,0.1,10,2
11,0.20800000429153442,6.613889694213867,9.972824573516846,0.1285851001739502,0.0013640733985630503,4.847623825073242,10,0.1,10,2
12,0.20469999313354492,6.3956379890441895,24.109307050704956,0.17856812477111816,0.002748752238381371,4.229167461395264,10,0.1,10,2
13,0.23199999332427979,6.581676483154297,10.01406717300415,0.31358814239501953,0.00527426258416881,5.061950206756592,10,0.1,10,2
14,0.4404999911785126,6.270081520080566,23.9200758934021,0.15924334526062012,0.0023778765663246305,3.4888217449188232,10,0.1,10,2
15,0.2948000133037567,5.257741451263428,9.806463479995728,0.21381783485412598,0.0034179468796742183,4.7452919483184814,10,0.1,10,2
16,0.3637999892234802,5.216792106628418,23.849486351013184,0.21779966354370117,0.003853861037964634,4.122841835021973,10,0.1,10,2
17,0.328900009393692,5.482540130615234,9.299199342727661,0.49611973762512207,0.013151580331446552,4.466022253036499,10,0.1,10,2
18,0.42399999499320984,4.98406982421875,24.34540843963623,0.2180795669555664,0.003310819721982625,4.002869129180908,10,0.1,10,2
19,0.446399986743927,4.8670454025268555,9.695530891418457,0.12380719184875488,0.0011777769885839007,3.8784706592559814,10,0.1,10,2
20,0.3610999882221222,4.914277076721191,23.561243772506714,0.31813907623291016,0.008454083380314045,3.760227680206299,10,0.1,10,2
21,0.30799999833106995,5.111661911010742,9.405657768249512,0.22788119316101074,0.005641625319526611,3.6347978115081787,10,0.1,10,2
22,0.3977999985218048,5.392788410186768,24.73983931541443,0.5238664150238037,0.017844461301620526,4.884117841720581,10,0.1,10,2
23,0.39430001378059387,5.047647476196289,8.699993133544922,0.5842018127441406,0.02256726670231273,3.221147060394287,10,0.1,10,2
24,0.30309998989105225,5.8556342124938965,23.56452775001526,0.6210741996765137,0.027107223438261486,4.228704452514648,10,0.1,10,2
25,0.2955000102519989,6.37258768081665,10.013325929641724,0.49910402297973633,0.014926754632651865,4.389904022216797,10,0.1,10,2
26,0.3400999903678894,6.3101806640625,24.606431007385254,0.5045850276947021,0.03077834218112514,4.169223070144653,10,0.1,10,2
27,0.3637999892234802,6.427920341491699,9.826069355010986,0.5997018814086914,0.02067620353142331,4.013790845870972,10,0.1,10,2
28,0.2644999921321869,6.127496719360352,23.973628997802734,0.3154137134552002,0.0076414687370993314,4.440462589263916,10,0.1,10,2
29,0.266400009393692,6.869658470153809,9.690630197525024,0.3135850429534912,0.010446312130880531,4.379523515701294,10,0.1,10,2
30,0.3955000042915344,6.742910861968994,24.84251046180725,0.6221389770507812,0.021999811444896412,4.774469375610352,10,0.1,10,2
31,0.3855000138282776,7.169255256652832,9.436217546463013,0.5940091609954834,0.030105292898468295,4.277456760406494,10,0.1,10,2
32,0.47099998593330383,6.532407283782959,23.983612537384033,0.5760152339935303,0.022121101970205927,4.210053443908691,10,0.1,10,2
33,0.4738999903202057,6.284972190856934,9.602266788482666,0.6549282073974609,0.02847785385236875,4.748457670211792,10,0.1,10,2
34,0.42089998722076416,7.1481218338012695,24.252296209335327,0.6313560009002686,0.050455413323888934,4.4977126121521,10,0.1,10,2
35,0.4323999881744385,6.61800479888916,10.08431363105774,0.6072981357574463,0.04189549561055003,5.279330015182495,10,0.1,10,2
36,0.3382999897003174,6.161226749420166,24.117300987243652,0.9074647426605225,0.05354422027994872,5.051882028579712,10,0.1,10,2
37,0.2939999997615814,6.742542743682861,9.705980777740479,0.5943844318389893,0.026581046271774655,4.83126974105835,10,0.1,10,2
38,0.38260000944137573,5.795434951782227,24.219260692596436,0.5877773761749268,0.027433637039098357,4.175055742263794,10,0.1,10,2
39,0.40959998965263367,6.3586249351501465,9.418334722518921,0.5799853801727295,0.026232031190175465,4.435345649719238,10,0.1,10,2
