Config,{"general": {"device": "cuda:0", "training_rounds": 200}, "dataset": "cifar10", "model": "vgg9", "loss_function": "CrossEntropyLoss", "aggregation": "fedavg", "client_selection": {"method": "fedsdr", "round": 1, "number": 2, "random_seed": 42, "fedsdr_group_update_period": 1, "fedsdr_eps": 1e-06}, "hyperparameters": {"training_rounds": 200, "local_epochs": 5, "selected_clients": 2, "client_selection_round": 1, "client_selection_method": "fedsdr", "optimizer": "Adam", "lr": 0.0001, "momentum": 0.9, "weight_decay": 0.0001, "nesterov": false, "batch_size": 64, "shuffle": true, "trainer_type": "standard"}, "rank_distribution": {}, "rank_ratio_list": [], "rank_ratio_list_str": "", "epoch": 5, "batch_size": 64}

accuracy,average_loss,precision,recall,f1_score,mcc,total_test_samples
0.389,2.092275730705261,0.27124178987752423,0.38899999999999996,0.29817901352537224,0.3496878295696653,10000
0.4493,1.99513782453537,0.4278291781745933,0.4492999999999999,0.37029914168054034,0.4039037303892952,10000
0.4616,2.3366589131355284,0.4381870014626849,0.46160000000000007,0.40029831928115867,0.4235653037891412,10000
0.4774,1.7208804958343507,0.5827630074540857,0.4774,0.42329658176086965,0.4461927146558874,10000
0.5448,1.865672433757782,0.5659067266473826,0.5448,0.48865834343796954,0.5079574035949042,10000
0.5309,2.177776582336426,0.5962073714398815,0.5309000000000001,0.46999978857271396,0.49381779565392264,10000
0.5495,1.6174321075439453,0.6788365681819672,0.5495000000000001,0.49016576329901423,0.514539469304537,10000
0.5481,2.07057244644165,0.6163024731857012,0.5481,0.4897721824147748,0.5112808345130602,10000
0.5941,1.5498802457809449,0.6957455298760196,0.5941,0.5579510069348582,0.5613252998328626,10000
0.5546,2.046481503200531,0.6687677812613693,0.5546,0.5020048111953461,0.5184586530855151,10000
0.5972,1.5608167011260987,0.686015118418348,0.5972000000000001,0.5684964344110768,0.5631918097635554,10000
0.5839,1.9288345779418945,0.579328369963325,0.5839000000000001,0.5381011653081458,0.5491133018996331,10000
0.6055,1.7974613040924072,0.6691714447462095,0.6055,0.588807814931435,0.5714121610542533,10000
0.5675,2.0661188770294188,0.6843819304498686,0.5675,0.5190568795249931,0.5342376568637212,10000
0.5759,2.015860445022583,0.6680298436108196,0.5759,0.5454823585761275,0.5411796376713012,10000
0.5416,2.1909841583251954,0.6967226176809181,0.5416000000000001,0.49616770797642307,0.5111582763644771,10000
0.5718,2.1488599130630495,0.6783709471874265,0.5718,0.5318434127205655,0.5383593384431203,10000
0.5816,2.204402909851074,0.6727274398727465,0.5816,0.5481669770905826,0.5476596124609299,10000
0.5933,1.9175382522583009,0.7065467514353427,0.5932999999999999,0.5593286686634098,0.5620499813878395,10000
0.5505,2.3150225612640383,0.6975967163103406,0.5505000000000001,0.5090913918174025,0.5184617785770662,10000
0.5988,2.0870809146881104,0.689334012271594,0.5988,0.5698783160332248,0.5654447755288367,10000
0.5489,2.2046711307525633,0.6908342332290116,0.5488999999999999,0.5142848768878759,0.5166008104246915,10000
0.5169,2.915477583694458,0.6677780544970594,0.5169,0.4747596456592193,0.4829092736232353,10000
0.5749,2.4121812931060793,0.6474021556018636,0.5749000000000001,0.5462524937050474,0.5400955345802076,10000
0.6375,1.6395750581741333,0.702582424164785,0.6375,0.6114901317182267,0.6058025074910701,10000
0.5767,2.229809455871582,0.6541694277138638,0.5767,0.5397754438554678,0.5397699607466102,10000
0.6323,1.62097846698761,0.7104638967116064,0.6323000000000001,0.615571045632465,0.6004722487256292,10000
0.5564,2.5287820209503176,0.6778557387547293,0.5564,0.5186037701315485,0.5225311415241392,10000
0.6206,1.8208299938201904,0.6915905804993867,0.6205999999999999,0.5938699380469704,0.5873369772978463,10000
0.5761,2.7125181453704834,0.6486246624349683,0.5761000000000001,0.5347060080586613,0.5390124452906205,10000
0.6225,1.8111079376220702,0.7191092086709463,0.6225,0.5976610262755407,0.5917876640922438,10000
0.5477,2.755007967758179,0.7107592281120922,0.5477000000000001,0.5175910121098626,0.5207763441434683,10000
0.6038,2.2096313341140745,0.6831697991049916,0.6038,0.5871572633893308,0.5696144551245619,10000
0.5938,2.1681815269470213,0.7158220831793473,0.5938000000000001,0.5688779320937528,0.5654170618463839,10000
0.5901,2.374252722454071,0.6858422950799421,0.5901,0.5608258212778938,0.5580051469896449,10000
0.5952,2.079177278137207,0.6908011254640434,0.5952,0.5593063953632708,0.5610504776897349,10000
0.5674,2.6247441226005552,0.676736329797249,0.5674,0.5386961203399219,0.5334413478067835,10000
0.6065,1.9631705211639405,0.7070140444021604,0.6065,0.5792104241681829,0.5751265963380968,10000
0.6644,1.6468775712966919,0.7102676820238264,0.6644,0.6566856175494912,0.6332421355389549,10000
0.5869,2.1631821548461914,0.7101071320762495,0.5869,0.547033347020465,0.5557362801167615,10000
0.6393,1.7087699682235717,0.6990839476863548,0.6393000000000001,0.6282999178276295,0.6073411495031347,10000
0.5894,2.408027367782593,0.6868085422314153,0.5894,0.5457809551887817,0.5551727257030509,10000
0.6149,2.00945710105896,0.7067872147727441,0.6149000000000001,0.5957853403165206,0.5820044499631934,10000
0.6138,2.2422633903503417,0.6912210734063736,0.6138000000000001,0.5780910906566337,0.5808665065509362,10000
0.6401,1.6515777416229247,0.7195927533086207,0.6401000000000001,0.6231100201874415,0.610132531938844,10000
0.579,2.764061646652222,0.6602014301148275,0.579,0.541520186183231,0.543571941743355,10000
0.6169,2.0993379870414732,0.6751242554220398,0.6169,0.5900820452699078,0.5822370280334642,10000
0.5945,2.332772900390625,0.6751192661895387,0.5944999999999999,0.553319511238552,0.5601767245326337,10000
0.6367,1.8496941917419434,0.7262764961761591,0.6367,0.6258542167248013,0.6077610146653109,10000
0.5911,2.2996776693344114,0.6686980254165327,0.5911,0.5566352257663124,0.5555340562197691,10000
0.6445,1.663530272102356,0.7300895739506661,0.6445000000000001,0.6258736831016635,0.615703679293144,10000
0.5862,2.5579965351104734,0.692133374086754,0.5861999999999999,0.5451762322883222,0.55178770166717,10000
0.6621,1.634700845336914,0.7278338292003702,0.6620999999999999,0.6524188322170297,0.6325727784103169,10000
0.5851,2.6023117130279543,0.6783272181132333,0.5851,0.5467303750271828,0.5506435707948016,10000
0.654,1.628306107711792,0.7210011572765153,0.654,0.6403997135514871,0.6234183023125982,10000
0.5589,2.9878596176147463,0.6921196125194714,0.5589,0.5299702806068184,0.5275217859364729,10000
0.6339,1.945511791229248,0.7294980983963868,0.6339,0.6159634384136818,0.6052800337780045,10000
0.5402,2.766024044418335,0.712245554372461,0.5402,0.5064215854454118,0.5122266309552814,10000
0.614,2.349392024898529,0.6960588908395149,0.6140000000000001,0.5927676719364814,0.5817790758285364,10000
0.6169,2.114773786354065,0.7125887036186052,0.6169,0.5928007950583167,0.5861877255273557,10000
0.617,2.404344020843506,0.6878605025419526,0.6170000000000001,0.598744291102997,0.5843348164697645,10000
0.6084,2.032402903556824,0.710806469242275,0.6083999999999999,0.5845720712698272,0.5787036042140965,10000
0.6185,2.007220867538452,0.6942574553095564,0.6184999999999999,0.5956020061585541,0.5860228347655104,10000
0.6186,2.2447379720687866,0.6963748531780676,0.6186,0.5929953748688375,0.5860263650383041,10000
0.6497,1.9310363300323485,0.7309061756495907,0.6496999999999999,0.6388014827658998,0.6213928370381381,10000
0.5952,2.435464900970459,0.6815351431992038,0.5952000000000001,0.557446882543164,0.562146705982722,10000
