Config,{"general": {"device": "cpu", "training_rounds": 100}, "dataset": "kmnist", "model": "cnn_brenden", "loss_function": "CrossEntropyLoss", "aggregation": "fedavg", "client_selection": {"method": "fedsdr", "round": 1, "number": 2, "random_seed": 42, "fedsdr_group_update_period": 1, "fedsdr_eps": 1e-06}, "hyperparameters": {"training_rounds": 100, "local_epochs": 3, "selected_clients": 2, "client_selection_round": 1, "client_selection_method": "fedsdr", "optimizer": "Adam", "lr": 0.001, "momentum": 0.9, "weight_decay": 0.0001, "nesterov": false, "batch_size": 64, "shuffle": true, "trainer_type": "standard"}, "rank_distribution": {}, "rank_ratio_list": [], "rank_ratio_list_str": "", "epoch": 3, "batch_size": 64}

accuracy,average_loss,precision,recall,f1_score,mcc,total_test_samples
0.194,2.767781182861328,0.0487304102561052,0.194,0.07515556913589469,0.1579813320069087,10000
0.3387,2.523471319580078,0.20066297651684906,0.3387,0.2392509451426787,0.2918283860040613,10000
0.1966,4.051609743499756,0.042377302423906096,0.1966,0.06896601653257366,0.14966239613531693,10000
0.2661,5.63444369354248,0.09006959226637574,0.2661,0.13059159250132457,0.22300227390954425,10000
0.2939,5.53308599395752,0.17482401453369517,0.2939,0.16511902203353737,0.2550168784940939,10000
0.3032,6.080136259460449,0.17555285440512655,0.3032,0.17291561918617593,0.26496005822530133,10000
0.2964,7.669877743530273,0.28248039432194616,0.29639999999999994,0.17589628392470313,0.26324944321719895,10000
0.3272,6.193947883605957,0.25052363936056354,0.32720000000000005,0.19488078987529261,0.28779099603127734,10000
0.3278,6.544525633239746,0.248056132653715,0.3278,0.19652105120429963,0.2875643589470898,10000
0.325,6.800428633117676,0.2635574518969551,0.325,0.19564080572634304,0.2866576287310802,10000
0.3219,7.193344213867188,0.26481716385710713,0.32189999999999996,0.19223991062350407,0.28242436262862075,10000
0.3213,6.546998664855957,0.2584089824207684,0.32130000000000003,0.19022977704886762,0.2815637301540693,10000
0.3211,6.928793822097778,0.26625440865373134,0.3211,0.1914462669648372,0.2818504561139939,10000
0.3281,6.620769064331054,0.26122428873577624,0.32809999999999995,0.20609509834516,0.2909595370426716,10000
0.3157,7.433236195373535,0.24886553671369366,0.3157,0.18243245057208884,0.2751178450625469,10000
0.3332,6.34665239944458,0.2537718829673066,0.3332,0.2058232402150197,0.2940163787186864,10000
