Config,{"general": {"device": "cpu", "training_rounds": 100}, "dataset": "kmnist", "model": "cnn_brenden", "loss_function": "CrossEntropyLoss", "aggregation": "fedavg", "client_selection": {"method": "fedgra_standard", "round": 1, "client_selection_round": 1, "number": 2, "random_seed": 42, "fedgra_mode": "all_participate", "min_participate_round": 5}, "hyperparameters": {"training_rounds": 100, "local_epochs": 3, "selected_clients": 2, "client_selection_round": 1, "client_selection_method": "fedgra_standard", "optimizer": "Adam", "lr": 0.001, "momentum": 0.9, "weight_decay": 0.0001, "nesterov": false, "batch_size": 64, "shuffle": true, "trainer_type": "standard"}, "rank_distribution": {}, "rank_ratio_list": [], "rank_ratio_list_str": "", "epoch": 3, "batch_size": 64}

round,accuracy,average_loss,precision,recall,f1_score,mcc,total_test_samples
0,0.2668,6.855452831268311,0.14211996678173597,0.26680000000000004,0.13346933481528395,0.22679478716430548,10000
1,0.4006,2.963728942489624,0.34293353322267295,0.4006,0.3171974830999298,0.3767119454694772,10000
2,0.605,2.656248845672607,0.44876894154099717,0.6050000000000001,0.4978152454616588,0.5787943779846564,10000
3,0.4676,2.886472162628174,0.48171979879788474,0.4676,0.37710298668301084,0.4415062550885314,10000
4,0.6306,1.3823309326171875,0.6654229548552427,0.6305999999999999,0.5431431711149252,0.607542136295145,10000
5,0.5541,1.7121336742401123,0.5731620972162049,0.5541,0.45563335191514887,0.5312621948490657,10000
6,0.6397,1.6610218006134032,0.6517288537264807,0.6397,0.5329678949908894,0.6164924243602153,10000
7,0.5477,1.5883484916687012,0.46991158308536674,0.5477,0.4559045816949564,0.523818649153629,10000
8,0.7838,0.642752127456665,0.838926477105478,0.7838,0.773487583593077,0.7668306053573631,10000
9,0.644,1.7244834091186523,0.5683342297123934,0.644,0.539472036415052,0.6218537549778173,10000
10,0.5903,1.3066715938568114,0.8052003796137006,0.5902999999999999,0.5355264388092359,0.5737326828737881,10000
11,0.6395,2.3328076034545897,0.5714802026996748,0.6395000000000001,0.5310690305473226,0.6174613683092915,10000
12,0.5448,2.314097677612305,0.6900662442947276,0.5448000000000001,0.4712184806682794,0.5341031004450777,10000
13,0.8353,0.482337668132782,0.860076319454185,0.8352999999999999,0.8324210198498683,0.8199286586599283,10000
14,0.7076,1.2065306369781494,0.7959787008463952,0.7076,0.6548486177473267,0.6882856888772951,10000
15,0.712,0.8866400871276855,0.7641514550671363,0.712,0.6852300774476177,0.6980914003574714,10000
16,0.6693,1.313522626876831,0.7953562572610553,0.6693,0.6261037744758113,0.6507493260089824,10000
17,0.6802,1.4441990139007568,0.6969148292563941,0.6801999999999999,0.6193206134137006,0.6599416089345154,10000
18,0.7429,0.989725037574768,0.8213844762202738,0.7429,0.7027080270337718,0.7260855773344895,10000
19,0.8126,0.5620805318832397,0.8544024134429575,0.8126000000000001,0.7981127183189619,0.7976459037407384,10000
20,0.5242,2.066577451324463,0.6626467452542595,0.5242,0.4210452821160168,0.4984560747378188,10000
21,0.7725,0.6532614748001099,0.828546794599068,0.7725,0.7391757788024498,0.7561689051743579,10000
22,0.6931,0.9807520580291748,0.8094977242772498,0.6931,0.6522741601600336,0.6746348909577926,10000
23,0.6406,2.362488089752197,0.4700437298402961,0.6406,0.5323463829270706,0.6183708028416819,10000
24,0.7424,0.7085630697250366,0.7941451423513941,0.7424000000000001,0.7233878401881005,0.7328298834032724,10000
25,0.7367,0.8738718601226807,0.8160864714920114,0.7366999999999999,0.7134164300928847,0.7187660879831439,10000
26,0.732,0.8088608970642089,0.8064394247045845,0.732,0.7005374290346021,0.7122563958362493,10000
27,0.6403,2.4435549110412595,0.5738743598355931,0.6403000000000001,0.5386411358101306,0.6206249168995494,10000
28,0.6998,0.959500526046753,0.7146941111970648,0.6998,0.6690839369485958,0.6807083167243485,10000
29,0.7181,0.914764196395874,0.8179278272854484,0.7181,0.6845342734960231,0.6992958898073406,10000
30,0.8153,0.5642229486465454,0.8564334087862224,0.8153,0.8097463387917673,0.7996121518210466,10000
31,0.807,0.5760104801177979,0.8506606447095141,0.807,0.8043539202761154,0.7905346603234201,10000
32,0.6813,1.571109629058838,0.7395752712538932,0.6813,0.6109209756586707,0.661519094225769,10000
33,0.7466,0.8701552450180053,0.8116305443337233,0.7466,0.7313538754602892,0.7371809272638377,10000
34,0.7028,1.1225793857574462,0.7923395316154398,0.7028000000000001,0.6502273736110131,0.682574593017195,10000
35,0.8465,0.45436873416900636,0.8798131308822208,0.8465,0.8489917050642528,0.8340598627068132,10000
36,0.6916,1.4515412887573242,0.670304865285861,0.6916,0.605194260953537,0.6710908343682787,10000
37,0.7016,1.1179950328826904,0.7289156476151747,0.7016,0.6688389043283591,0.6877875225952512,10000
38,0.6585,1.8281132072448731,0.6210882626004216,0.6585,0.5553892263945057,0.6377972542916776,10000
39,0.8818,0.38448166399002076,0.8952516435732447,0.8818000000000001,0.8816000472224379,0.8703240459281435,10000
40,0.8347,0.553651438331604,0.8665813822102096,0.8347,0.8361827600233726,0.8202297664003608,10000
41,0.8111,0.5711136691093445,0.8574939225544765,0.8111,0.8093919935124857,0.7955715685833268,10000
42,0.6674,1.1354416534423828,0.8014678248225792,0.6674,0.6513404820338985,0.648085515596791,10000
43,0.7666,0.7495868000030518,0.8324723604073055,0.7666000000000001,0.7586297697959946,0.7493118447115994,10000
44,0.7681,0.733354885482788,0.8573348298448051,0.7681,0.7681196562462984,0.7545924071755513,10000
45,0.7088,1.0309592361450195,0.7928504696076886,0.7088,0.6613049382375623,0.6886375592912468,10000
46,0.8216,0.552524914932251,0.8698085050826642,0.8215999999999999,0.8234030225221929,0.8074933823267766,10000
47,0.6696,1.7142857906341553,0.6782088233013255,0.6696,0.5793403222055019,0.6491930872649243,10000
48,0.7885,0.615560200881958,0.8110885013691924,0.7885,0.7584840981884382,0.7746365476092466,10000
