Config,{"general": {"device": "cpu", "training_rounds": 100}, "dataset": "kmnist", "model": "cnn_brenden", "loss_function": "CrossEntropyLoss", "aggregation": "fedavg", "client_selection": {"method": "fedgra", "round": 1, "client_selection_round": 1, "number": 2, "random_seed": 42, "fedgra_mode": "all_participate", "fedgra_metric_profile": "keras", "min_participate_round": 5}, "hyperparameters": {"training_rounds": 100, "local_epochs": 3, "selected_clients": 2, "client_selection_round": 1, "client_selection_method": "fedgra", "optimizer": "Adam", "lr": 0.001, "momentum": 0.9, "weight_decay": 0.0001, "nesterov": false, "batch_size": 64, "shuffle": true, "trainer_type": "standard"}, "rank_distribution": {}, "rank_ratio_list": [], "rank_ratio_list_str": "", "epoch": 3, "batch_size": 64}

round,accuracy,average_loss,precision,recall,f1_score,mcc,total_test_samples
0,0.5591,2.1692654445648194,0.6251748440821353,0.5591,0.4615124702950374,0.531308234143603,10000
1,0.6328,1.647674602508545,0.8031878520581446,0.6328,0.6061192476841447,0.6165656311488165,10000
2,0.7396,0.98803203125,0.8177584565851047,0.7396,0.7153948627431344,0.7217345002489033,10000
3,0.7202,1.22019404296875,0.8414943638233915,0.7202,0.7081278667145603,0.7063112913198505,10000
4,0.8616,0.46527952337265016,0.8719695820180886,0.8615999999999999,0.8591810662317071,0.8478011300894838,10000
5,0.7701,0.883204115486145,0.8150763672635337,0.7701,0.7491693190200546,0.7514996056856835,10000
6,0.7688,1.0702559202194213,0.8511349741346212,0.7687999999999999,0.7638633180011852,0.7540838008391708,10000
7,0.7339,1.1851167392730713,0.8007926525732563,0.7339,0.7080936156887664,0.714031707557272,10000
8,0.7838,1.0021717639923096,0.8607649463022902,0.7837999999999999,0.7860377513690596,0.7693887592681895,10000
9,0.8443,0.5683934689521789,0.8654378588204029,0.8442999999999999,0.8415627863732752,0.8300105406122439,10000
10,0.7609,1.0806504516601563,0.8628162034555563,0.7609000000000001,0.761958884794679,0.7488042858499966,10000
11,0.7704,1.0169781879425048,0.8269739476362735,0.7704,0.7556304598858217,0.7524238266824822,10000
12,0.7855,1.0005669387817382,0.8686970244939568,0.7855,0.7895978636896792,0.7730856020538059,10000
13,0.797,0.858263961982727,0.8589114816325832,0.797,0.7951610766766326,0.7822601629171366,10000
14,0.8322,0.6931469181060791,0.857970838673477,0.8321999999999999,0.8250064135458853,0.8172140308551756,10000
15,0.7493,1.198419675064087,0.8566830392853051,0.7493000000000001,0.747937197917089,0.7363279365659973,10000
16,0.8212,0.7819023941040039,0.8520746668177551,0.8211999999999999,0.8085203164852806,0.8059293193906735,10000
17,0.7827,0.964497197341919,0.860676222209,0.7827000000000001,0.775768194481385,0.7694250387688621,10000
18,0.8137,0.8176933588027954,0.86974549341772,0.8137000000000001,0.81327672319266,0.800045311599434,10000
19,0.8859,0.44639224309921266,0.8960928658017714,0.8859,0.8857311732276909,0.874389914113356,10000
20,0.7518,1.185508088684082,0.8171067967466964,0.7518,0.734038461317743,0.7324756471191727,10000
21,0.7665,1.0613650203704834,0.8580300410914546,0.7665,0.7628030673037984,0.7533672697989765,10000
22,0.7854,0.9554921035766601,0.8338440081461334,0.7854000000000001,0.7744980543670967,0.7679278341122783,10000
23,0.8716,0.5240890375137329,0.8981681736459912,0.8715999999999999,0.8762922428797154,0.8602829569177511,10000
24,0.8542,0.5213812509536743,0.8713100454596768,0.8542,0.8493776629412684,0.8406012209613257,10000
25,0.7696,1.0436980337142945,0.8581458751912002,0.7696000000000001,0.7667678145488599,0.7562451569312898,10000
26,0.8065,0.8686170276641846,0.8592838779062204,0.8065,0.8040051594000834,0.7919653157865111,10000
27,0.8101,0.8259471544265747,0.8760168495828766,0.8101,0.8177235766745687,0.7975179014889111,10000
28,0.7728,1.1321302480697633,0.8271386839108544,0.7727999999999999,0.7603660094218784,0.7548911881571599,10000
29,0.8538,0.582426273727417,0.8707374213417616,0.8538,0.8499597335807098,0.8399701604510832,10000
30,0.7706,0.9720739517211914,0.8622719535553836,0.7706000000000001,0.7753271813517093,0.7571127414706611,10000
31,0.7692,1.1128273624420166,0.8261343094929469,0.7691999999999999,0.7514639704114445,0.7510016426603958,10000
32,0.8088,0.8147013553619384,0.8675241374747156,0.8088000000000001,0.8114593285094106,0.7947531924726688,10000
33,0.7905,0.9700757316589356,0.8331074234439175,0.7905,0.7808253303084072,0.7727940176564002,10000
34,0.8903,0.43547526779174806,0.8996784848550033,0.8903000000000001,0.8897035748468138,0.879230615481366,10000
35,0.7712,1.0599833084106445,0.8487049262587452,0.7712,0.7595864309149953,0.7563816710497249,10000
36,0.7502,1.0934519550323487,0.8582427984052782,0.7502,0.7442136908231183,0.7386103404548674,10000
37,0.788,0.9200006984710694,0.8432505949828906,0.788,0.781563556486748,0.7718341033510848,10000
38,0.8585,0.5730663350105286,0.8781466889418514,0.8585,0.8576469339101195,0.8450794720994346,10000
39,0.8565,0.5196499348640442,0.8708290208656007,0.8564999999999999,0.8508518395726681,0.8429682490101483,10000
40,0.7806,1.037369227218628,0.834109224155909,0.7806,0.7653644824254725,0.7632269618446287,10000
41,0.794,0.9069759962081909,0.8723805197909658,0.7939999999999999,0.8006167506548719,0.781807375738273,10000
42,0.8057,0.8272678541183471,0.8426105100350858,0.8057000000000001,0.7898862699403125,0.789705920175546,10000
43,0.7916,0.8760565912246704,0.865723670393473,0.7916,0.7963445247077917,0.7780701061870368,10000
44,0.9009,0.38807984676361085,0.9047781667421152,0.9009,0.9005560151646333,0.8903454464868015,10000
45,0.7994,0.919282455444336,0.8428749027827594,0.7994,0.7905372270034767,0.7827510959281698,10000
46,0.8136,0.7943372341156005,0.878072334409727,0.8135999999999999,0.8212912135487487,0.801186198973665,10000
47,0.8784,0.4965373332500458,0.8925883297454004,0.8784000000000001,0.878373491754173,0.8665450623295938,10000
48,0.7548,1.0622899517059325,0.8137348546598806,0.7548,0.7400695532530605,0.7351313372438554,10000
49,0.8676,0.47223332471847534,0.883192100970829,0.8676,0.8640765947736162,0.8551031952637778,10000
50,0.7936,0.8967567131042481,0.8703120396528256,0.7936000000000001,0.7999271401178649,0.7810544271264367,10000
51,0.7517,1.0429990144729615,0.8289126589521366,0.7517,0.7342132336250243,0.7345656879573073,10000
52,0.8328,0.6781577375411987,0.8591577317999622,0.8328,0.82784640823074,0.8177770748767749,10000
53,0.8504,0.6039017605781555,0.8841366112221941,0.8504000000000002,0.8524389840344815,0.8373309198556097,10000
54,0.8051,0.8229956200599671,0.8480651799602379,0.8050999999999998,0.7807595114744625,0.7901954135405743,10000
55,0.8762,0.5013841672420501,0.8915145343900475,0.8761999999999999,0.8750290071062101,0.8642016260330552,10000
56,0.7982,0.9052246757507324,0.8540874943226042,0.7982000000000001,0.7967277321208777,0.7821416215488374,10000
57,0.7544,1.2019332666397096,0.8181835707916519,0.7544000000000001,0.7350021821720442,0.7355911569964538,10000
58,0.8647,0.5448206526756286,0.8976623176527616,0.8647,0.870006075621942,0.8533676979037021,10000
59,0.8341,0.6916548331260681,0.859130803454138,0.8341,0.8130033094412875,0.8205413311752356,10000
60,0.8118,0.8525204455375671,0.8761400881042911,0.8117999999999999,0.8150818673854907,0.7992437239701295,10000
61,0.8843,0.436547767496109,0.8891742000333794,0.8843,0.884054049994728,0.872061801724737,10000
62,0.7911,0.9230456924438477,0.8326244534148598,0.7910999999999999,0.7793897730378648,0.7735173152149858,10000
63,0.879,0.44821795921325686,0.8947131297345161,0.8789999999999999,0.8799515381019859,0.8673356516413067,10000
64,0.8193,0.6722897041320801,0.8527424099294837,0.8192999999999999,0.8064192313815935,0.8039895425008792,10000
65,0.8201,0.8032774642944336,0.8871525601072074,0.8201,0.8291909062332425,0.8087407399444482,10000
66,0.7931,0.720985739326477,0.8405921559968549,0.7931,0.7894335266078996,0.7760346865857145,10000
67,0.7932,0.8642746597290039,0.8734871179818112,0.7931999999999999,0.7988954424497674,0.7808204047431048,10000
68,0.8713,0.5156278887271881,0.8827917901656683,0.8713000000000001,0.8667976036716348,0.8588680272298601,10000
69,0.9023,0.37363283987045287,0.9088646833995544,0.9023,0.9029437632829179,0.8920572405425109,10000
70,0.7672,1.0728340412139892,0.8431085554590643,0.7672000000000001,0.757580741833262,0.7502062205933864,10000
71,0.8633,0.5261167093276977,0.8786443404434545,0.8633,0.8620174946741154,0.8500427043330819,10000
72,0.8049,0.8291623096466064,0.8624964972227243,0.8049,0.8059937393994092,0.7901809860634056,10000
73,0.7962,0.7833563084602356,0.8382954119063786,0.7962,0.7805219311504608,0.7796628028536466,10000
74,0.8373,0.6294907709121704,0.8873364911944629,0.8372999999999999,0.8414368458414184,0.8256296425592204,10000
75,0.7941,0.8009866905212403,0.8662225309315283,0.7941,0.7916312724122612,0.7815241720519703,10000
