Config,{"general": {"device": "cpu", "training_rounds": 100}, "dataset": "cifar10", "model": "cifar_lora_cnn", "loss_function": "CrossEntropyLoss", "aggregation": "zeropadding", "client_selection": {"method": "random", "round": 1, "client_selection_round": 1, "number": 10, "random_seed": 42}, "hyperparameters": {"training_rounds": 100, "local_epochs": 5, "selected_clients": 10, "client_selection_round": 1, "client_selection_method": "random", "optimizer": "Adam", "lr": 0.001, "momentum": 0.9, "weight_decay": 0.0001, "nesterov": false, "batch_size": 64, "shuffle": true, "trainer_type": "standard", "rank_ratio_list": [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]}, "rank_distribution": {"rank_ratio_list": [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]}, "rank_ratio_list": [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0], "rank_ratio_list_str": "[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]", "epoch": 5, "batch_size": 64}

round,accuracy,average_loss,perplexity,precision,recall,f1_score,matthews_correlation,mcc,total_test_samples
0,0.1114,2.4841453125,11.990867429468365,0.08818733410934011,0.11139999999999999,0.038033788377859416,0.04064168333666775,0.04064168333666775,10000
1,0.3071,2.1568005859375,8.643439431376878,0.37118559202160595,0.30710000000000004,0.25612067919542236,0.2462391496024927,0.2462391496024927,10000
2,0.4302,1.7263824096679687,5.620285198420758,0.5155672047409513,0.43019999999999997,0.37854338454637226,0.38307918330449536,0.38307918330449536,10000
3,0.4889,1.6232123214721679,5.069348566470456,0.5402363236308978,0.4889,0.44330345254924647,0.44554941831633726,0.44554941831633726,10000
4,0.5372,1.4003268714904784,4.056525712764493,0.5598014334278794,0.5372,0.4865760618948586,0.4970337328595167,0.4970337328595167,10000
5,0.5757,1.2391622856140136,3.452719859827296,0.688198556848924,0.5757,0.5322952151907235,0.5401789112589609,0.5401789112589609,10000
6,0.5925,1.250051669692993,3.4905233070701582,0.6906014201985949,0.5925,0.55016481009357,0.5572610294072818,0.5572610294072818,10000
7,0.5996,1.191858232498169,3.2931950472154594,0.7027592312721996,0.5995999999999999,0.5574657830479112,0.5665846088735657,0.5665846088735657,10000
8,0.6262,1.0897620700836181,2.973566487962794,0.708733458986752,0.6262,0.5893750687643378,0.5936740061119201,0.5936740061119201,10000
9,0.658,1.0092370471954346,2.743507049922137,0.7254762345638566,0.658,0.6274922705848887,0.6276633442979784,0.6276633442979784,10000
