Config,{"general": {"device": "cpu", "training_rounds": 100}, "dataset": "cinic10", "model": "cifar_lora_cnn", "loss_function": "CrossEntropyLoss", "aggregation": "close_optimal", "client_selection": {"method": "random", "round": 1, "client_selection_round": 1, "number": 10, "random_seed": 42}, "hyperparameters": {"training_rounds": 100, "local_epochs": 5, "selected_clients": 10, "client_selection_round": 1, "client_selection_method": "random", "optimizer": "Adam", "lr": 0.001, "momentum": 0.9, "weight_decay": 0.0001, "nesterov": false, "batch_size": 64, "shuffle": true, "trainer_type": "standard", "rank_ratio_list": [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]}, "rank_distribution": {"rank_ratio_list": [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]}, "rank_ratio_list": [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0], "rank_ratio_list_str": "[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]", "epoch": 5, "batch_size": 64}

round,accuracy,average_loss,perplexity,precision,recall,f1_score,matthews_correlation,mcc,total_test_samples
0,0.11015555555555556,2.3161114583333333,10.136182604872563,0.019914974888858544,0.11015555555555556,0.03013154334456123,0.022354988079922047,0.022354988079922047,90000
1,0.3909222222222222,2.0347373003641764,7.65024214565409,0.5059865702690404,0.3909222222222222,0.31019590714728634,0.3417672117173184,0.3417672117173184,90000
2,0.45832222222222224,2.000394174726804,7.391969252207766,0.5122167413081872,0.4583222222222222,0.389123661311613,0.4106582170714854,0.4106582170714854,90000
3,0.4711444444444444,1.9402582233031591,6.960548114320975,0.5255881985602533,0.4711444444444445,0.41019918768664576,0.4250952680257777,0.4250952680257777,90000
4,0.5160777777777777,1.777612926946746,5.915718299199962,0.5451530959884349,0.5160777777777777,0.46767633461809677,0.473197562214642,0.473197562214642,90000
5,0.5149666666666667,1.829730302274227,6.2322056201664875,0.554904219652111,0.5149666666666667,0.46478527888138643,0.47341509261947207,0.47341509261947207,90000
6,0.5309777777777778,1.8431001466499435,6.316088742043779,0.5591717990082226,0.5309777777777778,0.4806987423764933,0.4901777289140248,0.4901777289140248,90000
7,0.5555333333333333,1.7621284865087934,5.82482226481882,0.5685718758429207,0.5555333333333332,0.5107604629908588,0.5168029656049128,0.5168029656049128,90000
8,0.5569,1.8014663377669122,6.058524797960614,0.5726174839416482,0.5569,0.5049287203251153,0.5188566161946188,0.5188566161946188,90000
9,0.5625444444444444,1.7739571595893966,5.894131291926605,0.5816484342781774,0.5625444444444444,0.5162605616705735,0.5257059200597768,0.5257059200597768,90000
