Config,{"general": {"device": "cuda:0", "training_rounds": 100}, "dataset": "kmnist", "model": "simple_lora_mlp", "loss_function": "CrossEntropyLoss", "aggregation": "rbla", "client_selection": {"method": "random", "round": 1, "client_selection_round": 1, "number": 10, "random_seed": 42}, "hyperparameters": {"training_rounds": 100, "local_epochs": 3, "selected_clients": 10, "client_selection_round": 1, "client_selection_method": "random", "optimizer": "Adam", "lr": 0.001, "momentum": 0.9, "weight_decay": 0.0001, "nesterov": false, "batch_size": 64, "shuffle": true, "trainer_type": "standard", "rank_ratio_list": [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]}, "rank_distribution": {"rank_ratio_list": [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]}, "rank_ratio_list": [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0], "rank_ratio_list_str": "[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]", "epoch": 3, "batch_size": 64}

round,accuracy,average_loss,perplexity,precision,recall,f1_score,matthews_correlation,mcc,total_test_samples
0,0.3895,1.9293663025711813e+28,485165195.4097903,0.5639492570486355,0.3895,0.36718739076120965,0.3368591903816533,0.3368591903816533,10000
1,0.5418,3573078505.6557946,485165195.4097903,0.6110013937418038,0.5418000000000001,0.5374729661227945,0.4962596854942371,0.4962596854942371,10000
2,0.596,1.239444723892212,3.4536951778066887,0.6478681732475573,0.596,0.6043085505597705,0.5553228303374471,0.5553228303374471,10000
3,0.6161,1.1747412925720215,3.2373053205598876,0.6571358353228758,0.6161,0.6212336912158276,0.576810339876126,0.576810339876126,10000
4,0.6395,1.1392149401223908e+29,485165195.4097903,0.6718146095824993,0.6395,0.6438385233564919,0.601979716633172,0.601979716633172,10000
5,0.6551,1.2306649751595099e+29,485165195.4097903,0.6882642336498137,0.6551,0.6583270091411563,0.6198186502766123,0.6198186502766123,10000
6,0.6668,1.032961203765869,2.8093726544201383,0.7024416483869629,0.6668000000000001,0.669564597340246,0.6336891923586553,0.6336891923586553,10000
7,0.6968,0.938106893157959,2.5551396843965577,0.723254963926106,0.6968,0.6986598512428555,0.665756185037799,0.665756185037799,10000
8,0.7103,0.9051306056976318,2.4722547925346188,0.7317111001858827,0.7103,0.7108507367975934,0.6803190106013632,0.6803190106013632,10000
9,0.7017,0.9402755638122559,2.5606869537737644,0.7354334833362894,0.7017,0.7029206999740307,0.6724197433711,0.6724197433711,10000
10,0.7128,0.8929149341583252,2.4422382494047166,0.7422255744704176,0.7128,0.7146479472724581,0.6840946107375415,0.6840946107375415,10000
11,0.7125,2.159103292433015e+29,485165195.4097903,0.7477857941044451,0.7125,0.7144978317427719,0.6845993089756841,0.6845993089756841,10000
12,0.7153,0.8955774322509765,2.448749368159803,0.7519586833908812,0.7153,0.7185274784887934,0.6879136248280185,0.6879136248280185,10000
13,0.7238,0.8771810455322265,2.4041130600361953,0.7551375150585576,0.7238,0.7241740691007859,0.6965218864533304,0.6965218864533304,10000
14,0.7272,0.8611421455383301,2.3658613091028027,0.7613333848569501,0.7272000000000001,0.730492716113361,0.7008615812831149,0.7008615812831149,10000
15,0.7313,0.84764608669281,2.3341460028679912,0.7635568591533903,0.7313,0.7333382390059235,0.7053814037887818,0.7053814037887818,10000
16,0.7309,0.860469284248352,2.3642699480531144,0.7651265058690946,0.7309000000000001,0.7329436764873261,0.7049758307638083,0.7049758307638083,10000
17,0.7341,0.8529045949935913,2.346452457437995,0.7675613676598287,0.7341,0.7352911160642768,0.7081822526425571,0.7081822526425571,10000
18,0.7249,0.8775468402862548,2.4049926328433995,0.7727982615571701,0.7249000000000001,0.7310645447300188,0.7003834154368286,0.7003834154368286,10000
19,0.7316,0.8705282838821411,2.388172153189109,0.7703223934100788,0.7315999999999998,0.7334229060683033,0.7061271623090296,0.7061271623090296,10000
20,0.751,0.7890473127365112,2.2012982781424104,0.7723614521378523,0.7509999999999999,0.7511598809474918,0.725651850537304,0.725651850537304,10000
21,0.7371,0.8399129106521607,2.316165254675778,0.774594810727858,0.7371,0.7402153737622859,0.712284489292643,0.712284489292643,10000
22,0.7334,0.8567468425750733,2.3554854511039447,0.7749971789674557,0.7333999999999999,0.7371282730433911,0.7088471815152054,0.7088471815152054,10000
23,0.7268,0.881806227684021,2.4152582753092657,0.7774637016132877,0.7267999999999999,0.7328367058574694,0.7031199768868442,0.7031199768868442,10000
24,0.7426,2.5056912221418018e+29,485165195.4097903,0.7762628574063491,0.7426,0.7439929041322345,0.7176571134436743,0.7176571134436743,10000
25,0.7326,0.871679575920105,2.3909232201112123,0.7795167026118189,0.7325999999999999,0.7362930807542367,0.7082910620987137,0.7082910620987137,10000
26,0.7496,2.8501935323694023e+29,485165195.4097903,0.7828194008267821,0.7495999999999999,0.7518425008378137,0.7255349586063756,0.7255349586063756,10000
27,0.7487,0.8121364835739135,2.252715739179026,0.7833883649256991,0.7487,0.7513284279318024,0.7245964071606671,0.7245964071606671,10000
28,0.7446,1.100268185917686e+29,485165195.4097903,0.7870032283862322,0.7445999999999999,0.7485890693892021,0.7209150738144628,0.7209150738144628,10000
29,0.7498,0.8030559337615967,2.2323524366115746,0.7856598535554099,0.7498,0.7532229007445493,0.7259536380077227,0.7259536380077227,10000
30,0.751,0.800050026512146,2.225652267327682,0.7849837313812886,0.7510000000000001,0.7537474109503168,0.7272639073940562,0.7272639073940562,10000
31,0.7397,0.8369897094726563,2.3094045239736265,0.7888475547294156,0.7397,0.7470150242107986,0.7172334984702374,0.7172334984702374,10000
32,0.7563,0.8065357112884521,2.2401340577555,0.7916697797991568,0.7563,0.7588332079009749,0.7332102199613794,0.7332102199613794,10000
33,0.7597,0.7907661693572998,2.2050852479588237,0.792139880711281,0.7596999999999999,0.7616454106547283,0.73657954534272,0.73657954534272,10000
34,0.7296,0.8956206752777099,2.448855261783758,0.7874996540613957,0.7295999999999999,0.7362853268259538,0.7067499323583666,0.7067499323583666,10000
35,0.7517,0.8104142986297608,2.2488394848210587,0.7894674438012259,0.7517,0.7551953142519531,0.7282483904699161,0.7282483904699161,10000
36,0.7523,0.8147689527511597,2.258653756321911,0.7906577894829023,0.7523,0.7560570325206283,0.729210747250861,0.729210747250861,10000
37,0.7614,0.778343131828308,2.1778608461831035,0.7934138308677474,0.7614,0.7641034143614381,0.7386510717495388,0.7386510717495388,10000
38,0.7479,9035481246.106335,485165195.4097903,0.7898130174946234,0.7478999999999999,0.7530101503571054,0.7249514218050825,0.7249514218050825,10000
39,0.7505,0.8364464214324951,2.3081501928782515,0.7965212896544132,0.7505,0.754791619875236,0.7281408361567123,0.7281408361567123,10000
40,0.7567,0.8017082403182983,2.2293459362450907,0.7947307828616531,0.7566999999999999,0.7606309515731344,0.7340685589204963,0.7340685589204963,10000
41,0.7559,0.8127984651565552,2.2542074892103363,0.7986436088941293,0.7558999999999999,0.7607451620586734,0.7339306577026801,0.7339306577026801,10000
42,0.7556,0.8007967144012451,2.2273147555237,0.79496764928616,0.7556,0.7588236850358692,0.7329114719107116,0.7329114719107116,10000
43,0.7613,0.7816602834701538,2.185097136164956,0.7960898533816633,0.7613,0.7648829771221026,0.7389473518006956,0.7389473518006956,10000
44,0.7666,0.7635996870040893,2.145987215877399,0.7961028144584051,0.7666000000000001,0.7681831508872362,0.743960769882985,0.743960769882985,10000
45,0.7692,0.7779728721618653,2.1770546214181037,0.8015852155581792,0.7692,0.7718195122029561,0.7471958280324584,0.7471958280324584,10000
46,0.7699,16026475850.075472,485165195.4097903,0.8011261119312344,0.7699,0.7723099389002188,0.7479353878524543,0.7479353878524543,10000
47,0.7724,0.7598801155090332,2.1380198897059284,0.8023893326125678,0.7724,0.7755111897269564,0.7505996147083464,0.7505996147083464,10000
48,0.7595,0.8078549406051636,2.243091258461904,0.8020851681866425,0.7595000000000001,0.7645613963549373,0.7376388945281601,0.7376388945281601,10000
