round,accuracy,loss,number_of_participated_clients,learning_rate,number_of_selected_clients,client_selection_round
0,0.3127000033855438,2.218831777572632,10,0.01,10,1
1,0.6845999956130981,1.3005012273788452,10,0.01,10,1
2,0.8098999857902527,1.5593771934509277,10,0.01,10,1
3,0.7232000231742859,1.4378477334976196,10,0.01,10,1
4,0.8917999863624573,1.4433976411819458,10,0.01,10,1
5,0.7791000008583069,1.400292992591858,10,0.01,10,1
6,0.910099983215332,1.3841193914413452,10,0.01,10,1
7,0.8325999975204468,1.3542264699935913,10,0.01,10,1
8,0.9180999994277954,1.3370282649993896,10,0.01,10,1
9,0.8666999936103821,1.3114091157913208,10,0.01,10,1
10,0.9222999811172485,1.2950518131256104,10,0.01,10,1
11,0.8895999789237976,1.2700461149215698,10,0.01,10,1
12,0.9251999855041504,1.2553808689117432,10,0.01,10,1
13,0.9035999774932861,1.2313522100448608,10,0.01,10,1
14,0.9264000058174133,1.2172930240631104,10,0.01,10,1
15,0.9147999882698059,1.1936465501785278,10,0.01,10,1
16,0.9291999936103821,1.1799670457839966,10,0.01,10,1
17,0.9221000075340271,1.1566535234451294,10,0.01,10,1
18,0.930400013923645,1.143851637840271,10,0.01,10,1
19,0.9266999959945679,1.1212738752365112,10,0.01,10,1
20,0.9312000274658203,1.1084938049316406,10,0.01,10,1
21,0.9312000274658203,1.0861314535140991,10,0.01,10,1
22,0.9351000189781189,1.0732841491699219,10,0.01,10,1
23,0.9340999722480774,1.0519347190856934,10,0.01,10,1
24,0.9368000030517578,1.0391231775283813,10,0.01,10,1
25,0.9372000098228455,1.0183011293411255,10,0.01,10,1
26,0.9381999969482422,1.005399465560913,10,0.01,10,1
27,0.9404000043869019,0.9852056503295898,10,0.01,10,1
28,0.9409999847412109,0.9723798036575317,10,0.01,10,1
29,0.9427000284194946,0.952978789806366,10,0.01,10,1
30,0.9419000148773193,0.9404619336128235,10,0.01,10,1
31,0.9448000192642212,0.921363890171051,10,0.01,10,1
32,0.9438999891281128,0.9095792770385742,10,0.01,10,1
33,0.9466000199317932,0.8914088606834412,10,0.01,10,1
34,0.9452999830245972,0.8796574473381042,10,0.01,10,1
35,0.947700023651123,0.8623113036155701,10,0.01,10,1
36,0.9467999935150146,0.8510555624961853,10,0.01,10,1
37,0.948199987411499,0.8344276547431946,10,0.01,10,1
38,0.9484000205993652,0.8236322402954102,10,0.01,10,1
39,0.9492999911308289,0.8081955313682556,10,0.01,10,1
40,0.949400007724762,0.7981237769126892,10,0.01,10,1
41,0.9505000114440918,0.783643901348114,10,0.01,10,1
42,0.9498000144958496,0.7735934853553772,10,0.01,10,1
43,0.9514999985694885,0.7604544162750244,10,0.01,10,1
44,0.9510999917984009,0.751049816608429,10,0.01,10,1
45,0.9523000121116638,0.7388948202133179,10,0.01,10,1
46,0.9521999955177307,0.7298120260238647,10,0.01,10,1
47,0.953000009059906,0.7182382941246033,10,0.01,10,1
48,0.9526000022888184,0.7098633050918579,10,0.01,10,1
49,0.9541000127792358,0.6988214254379272,10,0.01,10,1
50,0.9531999826431274,0.6909791231155396,10,0.01,10,1
51,0.9549999833106995,0.6806387901306152,10,0.01,10,1
52,0.9542999863624573,0.6730033159255981,10,0.01,10,1
53,0.955299973487854,0.6634259223937988,10,0.01,10,1
54,0.9555000066757202,0.6560946106910706,10,0.01,10,1
55,0.9557999968528748,0.6470855474472046,10,0.01,10,1
56,0.9563000202178955,0.6403554677963257,10,0.01,10,1
57,0.9563999772071838,0.6318985819816589,10,0.01,10,1
58,0.95660001039505,0.625423789024353,10,0.01,10,1
59,0.9567999839782715,0.6174956560134888,10,0.01,10,1
60,0.957099974155426,0.6113210320472717,10,0.01,10,1
61,0.9577999711036682,0.6039080619812012,10,0.01,10,1
62,0.9577000141143799,0.598134458065033,10,0.01,10,1
63,0.958299994468689,0.5910446047782898,10,0.01,10,1
64,0.9585000276565552,0.5855408906936646,10,0.01,10,1
65,0.9585000276565552,0.5789311528205872,10,0.01,10,1
66,0.9587000012397766,0.5736803412437439,10,0.01,10,1
