round,accuracy,loss,number_of_participated_clients,learning_rate,number_of_selected_clients,client_selection_round
0,0.3075000047683716,2.0893759727478027,10,0.0001,10,1
1,0.35740000009536743,1.8354963064193726,10,0.0001,10,1
2,0.3831000030040741,1.7028285264968872,10,0.0001,10,1
3,0.412200003862381,1.6324303150177002,10,0.0001,10,1
4,0.4187000095844269,1.5867576599121094,10,0.0001,10,1
5,0.421999990940094,1.559494972229004,10,0.0001,10,1
6,0.43639999628067017,1.5281702280044556,10,0.0001,10,1
7,0.4350000023841858,1.5240041017532349,10,0.0001,10,1
8,0.43799999356269836,1.5091077089309692,10,0.0001,10,1
9,0.4503999948501587,1.4887267351150513,10,0.0001,10,1
10,0.4577000141143799,1.4520729780197144,10,0.0001,10,1
11,0.4562000036239624,1.4651856422424316,10,0.0001,10,1
12,0.4571000039577484,1.4525388479232788,10,0.0001,10,1
13,0.45399999618530273,1.4657859802246094,10,0.0001,10,1
14,0.4611000120639801,1.4391298294067383,10,0.0001,10,1
15,0.4641000032424927,1.446729063987732,10,0.0001,10,1
16,0.46540001034736633,1.435700535774231,10,0.0001,10,1
17,0.46209999918937683,1.4381107091903687,10,0.0001,10,1
18,0.4713999927043915,1.4250811338424683,10,0.0001,10,1
19,0.4797999858856201,1.4067267179489136,10,0.0001,10,1
20,0.4799000024795532,1.4277459383010864,10,0.0001,10,1
21,0.4814000129699707,1.404779076576233,10,0.0001,10,1
22,0.4909000098705292,1.383177638053894,10,0.0001,10,1
23,0.4812999963760376,1.401097059249878,10,0.0001,10,1
24,0.49239999055862427,1.3874931335449219,10,0.0001,10,1
25,0.48510000109672546,1.4070507287979126,10,0.0001,10,1
26,0.4885999858379364,1.3968806266784668,10,0.0001,10,1
27,0.4884999990463257,1.4017705917358398,10,0.0001,10,1
28,0.4961000084877014,1.4023516178131104,10,0.0001,10,1
29,0.5044999718666077,1.3630479574203491,10,0.0001,10,1
30,0.5016999840736389,1.3771547079086304,10,0.0001,10,1
31,0.5078999996185303,1.3685250282287598,10,0.0001,10,1
32,0.5019000172615051,1.388162612915039,10,0.0001,10,1
33,0.5038999915122986,1.4264228343963623,10,0.0001,10,1
34,0.5070000290870667,1.3917218446731567,10,0.0001,10,1
35,0.5131999850273132,1.3930524587631226,10,0.0001,10,1
36,0.508899986743927,1.406165361404419,10,0.0001,10,1
37,0.5156000256538391,1.3832471370697021,10,0.0001,10,1
38,0.5128999948501587,1.4001643657684326,10,0.0001,10,1
39,0.5146999955177307,1.4219602346420288,10,0.0001,10,1
40,0.5182999968528748,1.3998750448226929,10,0.0001,10,1
41,0.5127000212669373,1.434491515159607,10,0.0001,10,1
42,0.5188000202178955,1.4082218408584595,10,0.0001,10,1
43,0.5238000154495239,1.4029000997543335,10,0.0001,10,1
44,0.5238999724388123,1.419609785079956,10,0.0001,10,1
45,0.5242000222206116,1.4221023321151733,10,0.0001,10,1
46,0.5250999927520752,1.4127026796340942,10,0.0001,10,1
47,0.5277000069618225,1.4224003553390503,10,0.0001,10,1
48,0.5286999940872192,1.4192588329315186,10,0.0001,10,1
49,0.531000018119812,1.421494483947754,10,0.0001,10,1
50,0.5325000286102295,1.4244401454925537,10,0.0001,10,1
51,0.5322999954223633,1.410448431968689,10,0.0001,10,1
52,0.5315999984741211,1.4440721273422241,10,0.0001,10,1
53,0.5317999720573425,1.4697391986846924,10,0.0001,10,1
54,0.5277000069618225,1.4841431379318237,10,0.0001,10,1
55,0.5321999788284302,1.4634356498718262,10,0.0001,10,1
56,0.5393999814987183,1.4275296926498413,10,0.0001,10,1
57,0.5343999862670898,1.4599329233169556,10,0.0001,10,1
58,0.5404000282287598,1.4626058340072632,10,0.0001,10,1
59,0.5317000150680542,1.49600088596344,10,0.0001,10,1
60,0.5322999954223633,1.4926056861877441,10,0.0001,10,1
61,0.5368000268936157,1.4850163459777832,10,0.0001,10,1
62,0.5357000231742859,1.5049808025360107,10,0.0001,10,1
63,0.5315999984741211,1.5218191146850586,10,0.0001,10,1
64,0.5378000140190125,1.5383853912353516,10,0.0001,10,1
65,0.5360000133514404,1.5358684062957764,10,0.0001,10,1
66,0.536300003528595,1.5432310104370117,10,0.0001,10,1
67,0.5396999716758728,1.5732921361923218,10,0.0001,10,1
68,0.5383999943733215,1.521620750427246,10,0.0001,10,1
69,0.5364000201225281,1.5587725639343262,10,0.0001,10,1
70,0.5397999882698059,1.5817255973815918,10,0.0001,10,1
71,0.5379999876022339,1.5745048522949219,10,0.0001,10,1
72,0.5346999764442444,1.5765182971954346,10,0.0001,10,1
73,0.5364999771118164,1.5669105052947998,10,0.0001,10,1
74,0.5386000275611877,1.5707942247390747,10,0.0001,10,1
75,0.5393000245094299,1.57578706741333,10,0.0001,10,1
76,0.5368000268936157,1.6178146600723267,10,0.0001,10,1
77,0.5414999723434448,1.5925830602645874,10,0.0001,10,1
78,0.5404999852180481,1.6292941570281982,10,0.0001,10,1
79,0.541700005531311,1.6113975048065186,10,0.0001,10,1
80,0.5410000085830688,1.605772614479065,10,0.0001,10,1
81,0.5371000170707703,1.6502764225006104,10,0.0001,10,1
82,0.5404999852180481,1.6247782707214355,10,0.0001,10,1
83,0.541700005531311,1.6397160291671753,10,0.0001,10,1
