round,accuracy,loss,number_of_participated_clients,learning_rate,number_of_selected_clients,client_selection_round
0,0.17720000445842743,2.212198495864868,10,0.01,10,1
1,0.6610000133514404,1.2932687997817993,10,0.01,10,1
2,0.733299970626831,0.9707620143890381,10,0.01,10,1
3,0.7720000147819519,0.7538387775421143,10,0.01,10,1
4,0.792900025844574,0.6384510397911072,10,0.01,10,1
5,0.8044000267982483,0.5749548077583313,10,0.01,10,1
6,0.8148999810218811,0.5382708311080933,10,0.01,10,1
7,0.8220999836921692,0.5120529532432556,10,0.01,10,1
8,0.8282999992370605,0.49008941650390625,10,0.01,10,1
9,0.8364999890327454,0.4716777801513672,10,0.01,10,1
10,0.8424999713897705,0.45474907755851746,10,0.01,10,1
11,0.8486999869346619,0.4380168914794922,10,0.01,10,1
12,0.8543999791145325,0.42193809151649475,10,0.01,10,1
13,0.8601999878883362,0.4071716070175171,10,0.01,10,1
14,0.8654000163078308,0.39268866181373596,10,0.01,10,1
15,0.8690000176429749,0.38056397438049316,10,0.01,10,1
16,0.8751000165939331,0.3681029677391052,10,0.01,10,1
17,0.8783000111579895,0.3566170930862427,10,0.01,10,1
18,0.8819000124931335,0.34735023975372314,10,0.01,10,1
19,0.8859999775886536,0.3388679623603821,10,0.01,10,1
20,0.8902999758720398,0.3312220871448517,10,0.01,10,1
21,0.8934999704360962,0.3230593800544739,10,0.01,10,1
22,0.8971999883651733,0.3151267468929291,10,0.01,10,1
23,0.9010000228881836,0.30779024958610535,10,0.01,10,1
24,0.9036999940872192,0.300747811794281,10,0.01,10,1
25,0.9054999947547913,0.2945619523525238,10,0.01,10,1
26,0.9078999757766724,0.2888163626194,10,0.01,10,1
27,0.909600019454956,0.28354912996292114,10,0.01,10,1
28,0.9115999937057495,0.2786979675292969,10,0.01,10,1
29,0.9140999913215637,0.2737107276916504,10,0.01,10,1
30,0.9160000085830688,0.26930326223373413,10,0.01,10,1
31,0.9179999828338623,0.264518141746521,10,0.01,10,1
32,0.9204000234603882,0.2601386606693268,10,0.01,10,1
33,0.9217000007629395,0.2563630938529968,10,0.01,10,1
34,0.9225000143051147,0.25281697511672974,10,0.01,10,1
35,0.92330002784729,0.24934160709381104,10,0.01,10,1
36,0.9244999885559082,0.24650225043296814,10,0.01,10,1
37,0.9251000285148621,0.2448050081729889,10,0.01,10,1
38,0.925599992275238,0.24257473647594452,10,0.01,10,1
39,0.9262999892234802,0.24068845808506012,10,0.01,10,1
40,0.9276999831199646,0.23950934410095215,10,0.01,10,1
