dataset,model,layer_or_aggregate,seed,round,R,r,normalized_rank,sp_plus_dense_difference,gap,analytic_optimal_error,experiment_type,checkpoint,d_out,d_in,spectrum,method,relative_error,numerical_checks_passed
synthetic,synthetic_low_rank_update,aggregate,42,-1,8,1,1.2500000000000000e-01,1.4193294057478962e-15,3.9560629356687249e-01,5.6465359762652845e-01,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),RBLA index prefix,9.6025989119340072e-01,True
synthetic,synthetic_low_rank_update,aggregate,42,-1,8,1,1.2500000000000000e-01,1.4193294057478962e-15,3.9560629356687249e-01,5.6465359762652845e-01,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),SP+ (compact QR),5.6465359762652823e-01,True
synthetic,synthetic_low_rank_update,aggregate,42,-1,8,1,1.2500000000000000e-01,1.4193294057478962e-15,3.9560629356687249e-01,5.6465359762652845e-01,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),Dense truncated SVD,5.6465359762652823e-01,True
synthetic,synthetic_low_rank_update,aggregate,42,-1,8,2,2.5000000000000000e-01,1.3061777745873651e-15,5.1106280841772689e-01,3.1875583277888492e-01,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),RBLA index prefix,8.2981864119661175e-01,True
synthetic,synthetic_low_rank_update,aggregate,42,-1,8,2,2.5000000000000000e-01,1.3061777745873651e-15,5.1106280841772689e-01,3.1875583277888492e-01,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),SP+ (compact QR),3.1875583277888481e-01,True
synthetic,synthetic_low_rank_update,aggregate,42,-1,8,2,2.5000000000000000e-01,1.3061777745873651e-15,5.1106280841772689e-01,3.1875583277888492e-01,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),Dense truncated SVD,3.1875583277888481e-01,True
synthetic,synthetic_low_rank_update,aggregate,42,-1,8,3,3.7500000000000000e-01,1.3153724399377481e-15,6.1850047202197256e-01,1.7980466716998986e-01,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),RBLA index prefix,7.9830513919196233e-01,True
synthetic,synthetic_low_rank_update,aggregate,42,-1,8,3,3.7500000000000000e-01,1.3153724399377481e-15,6.1850047202197256e-01,1.7980466716998986e-01,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),SP+ (compact QR),1.7980466716998980e-01,True
synthetic,synthetic_low_rank_update,aggregate,42,-1,8,3,3.7500000000000000e-01,1.3153724399377481e-15,6.1850047202197256e-01,1.7980466716998986e-01,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),Dense truncated SVD,1.7980466716998980e-01,True
synthetic,synthetic_low_rank_update,aggregate,42,-1,8,4,5.0000000000000000e-01,1.3004028260843543e-15,5.5724792612049479e-01,1.0117947994743640e-01,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),RBLA index prefix,6.5842740606793115e-01,True
synthetic,synthetic_low_rank_update,aggregate,42,-1,8,4,5.0000000000000000e-01,1.3004028260843543e-15,5.5724792612049479e-01,1.0117947994743640e-01,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),SP+ (compact QR),1.0117947994743635e-01,True
synthetic,synthetic_low_rank_update,aggregate,42,-1,8,4,5.0000000000000000e-01,1.3004028260843543e-15,5.5724792612049479e-01,1.0117947994743640e-01,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),Dense truncated SVD,1.0117947994743634e-01,True
synthetic,synthetic_low_rank_update,aggregate,42,-1,8,5,6.2500000000000000e-01,1.3053926270908887e-15,3.7334335571138044e-01,5.6496601613898349e-02,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),RBLA index prefix,4.2983995732527880e-01,True
synthetic,synthetic_low_rank_update,aggregate,42,-1,8,5,6.2500000000000000e-01,1.3053926270908887e-15,3.7334335571138044e-01,5.6496601613898349e-02,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),SP+ (compact QR),5.6496601613898335e-02,True
synthetic,synthetic_low_rank_update,aggregate,42,-1,8,5,6.2500000000000000e-01,1.3053926270908887e-15,3.7334335571138044e-01,5.6496601613898349e-02,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),Dense truncated SVD,5.6496601613898335e-02,True
synthetic,synthetic_low_rank_update,aggregate,42,-1,8,6,7.5000000000000000e-01,1.3022917659482972e-15,2.4911321664676878e-01,3.0741421310200863e-02,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),RBLA index prefix,2.7985463795696963e-01,True
synthetic,synthetic_low_rank_update,aggregate,42,-1,8,6,7.5000000000000000e-01,1.3022917659482972e-15,2.4911321664676878e-01,3.0741421310200863e-02,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),SP+ (compact QR),3.0741421310200853e-02,True
synthetic,synthetic_low_rank_update,aggregate,42,-1,8,6,7.5000000000000000e-01,1.3022917659482972e-15,2.4911321664676878e-01,3.0741421310200863e-02,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),Dense truncated SVD,3.0741421310200859e-02,True
