dataset,model,layer,checkpoint,seed,trial,d_out,d_in,R,r,alpha,target_condition_number,actual_condition_number,condition_relative_error,smallest_gauge_singular_value,b_gauge_frobenius_norm,a_gauge_frobenius_norm,full_update_error,dense_optimal_error,sp_plus_dense_error_gap,compact_full_reconstruction_error,compact_path_no_dense_intermediate,gauge_construction,method,broadcast_error,excess_error,numerical_checks_passed
synthetic,structured_low_rank_update,aggregate,N/A,42,0,128,96,16,8,4.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000011e+00,1.1102230246251565e-15,9.9999999999999967e-01,1.6457339059369436e+00,1.6457339059369438e+00,4.2363895389740217e-16,1.1761969034414466e-01,4.1633363423443370e-17,1.6290927343194167e-15,True,Q_left D(kappa) Q_right^T,RBLA prefix,6.2604723261952244e-01,5.0842754227537779e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,0,128,96,16,8,4.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000011e+00,1.1102230246251565e-15,9.9999999999999967e-01,1.6457339059369436e+00,1.6457339059369438e+00,4.2363895389740217e-16,1.1761969034414466e-01,4.1633363423443370e-17,1.6290927343194167e-15,True,Q_left D(kappa) Q_right^T,SP+ (compact QR),1.1761969034414461e-01,-4.1633363423443370e-17,True
synthetic,structured_low_rank_update,aggregate,N/A,42,0,128,96,16,8,4.0000000000000000e+00,1.5000000000000000e+00,1.5000000000000007e+00,4.4408920985006262e-16,8.1649658092772548e-01,1.7041497220581534e+00,1.6408109503788706e+00,3.6588559676010918e-16,1.1761969034414466e-01,4.1633363423443370e-17,1.2369038946241193e-15,True,Q_left D(kappa) Q_right^T,RBLA prefix,6.3060392589028524e-01,5.1298423554614059e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,0,128,96,16,8,4.0000000000000000e+00,1.5000000000000000e+00,1.5000000000000007e+00,4.4408920985006262e-16,8.1649658092772548e-01,1.7041497220581534e+00,1.6408109503788706e+00,3.6588559676010918e-16,1.1761969034414466e-01,4.1633363423443370e-17,1.2369038946241193e-15,True,Q_left D(kappa) Q_right^T,SP+ (compact QR),1.1761969034414461e-01,-4.1633363423443370e-17,True
synthetic,structured_low_rank_update,aggregate,N/A,42,0,128,96,16,8,4.0000000000000000e+00,2.0000000000000000e+00,1.9999999999999993e+00,3.3306690738754696e-16,7.0710678118654768e-01,1.7790758646945730e+00,1.6691741560809370e+00,3.5438013231605487e-16,1.1761969034414466e-01,4.1633363423443370e-17,1.2132735856661136e-15,True,Q_left D(kappa) Q_right^T,RBLA prefix,6.3992212909910828e-01,5.2230243875496363e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,0,128,96,16,8,4.0000000000000000e+00,2.0000000000000000e+00,1.9999999999999993e+00,3.3306690738754696e-16,7.0710678118654768e-01,1.7790758646945730e+00,1.6691741560809370e+00,3.5438013231605487e-16,1.1761969034414466e-01,4.1633363423443370e-17,1.2132735856661136e-15,True,Q_left D(kappa) Q_right^T,SP+ (compact QR),1.1761969034414461e-01,-4.1633363423443370e-17,True
synthetic,structured_low_rank_update,aggregate,N/A,42,0,128,96,16,8,4.0000000000000000e+00,3.0000000000000000e+00,3.0000000000000013e+00,4.4408920985006262e-16,5.7735026918962551e-01,1.9341822336667396e+00,1.7539420145817246e+00,4.0887287375196545e-16,1.1761969034414466e-01,4.1633363423443370e-17,1.6339315452562510e-15,True,Q_left D(kappa) Q_right^T,RBLA prefix,6.6440920178353413e-01,5.4678951143938948e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,0,128,96,16,8,4.0000000000000000e+00,3.0000000000000000e+00,3.0000000000000013e+00,4.4408920985006262e-16,5.7735026918962551e-01,1.9341822336667396e+00,1.7539420145817246e+00,4.0887287375196545e-16,1.1761969034414466e-01,4.1633363423443370e-17,1.6339315452562510e-15,True,Q_left D(kappa) Q_right^T,SP+ (compact QR),1.1761969034414461e-01,-4.1633363423443370e-17,True
synthetic,structured_low_rank_update,aggregate,N/A,42,0,128,96,16,8,4.0000000000000000e+00,5.0000000000000000e+00,4.9999999999999982e+00,3.5527136788005011e-16,4.4721359549995793e-01,2.2185804898282524e+00,1.9369676783701504e+00,4.0392685262817058e-16,1.1761969034414466e-01,4.1633363423443370e-17,1.9332805101069475e-15,True,Q_left D(kappa) Q_right^T,RBLA prefix,7.2512320992387191e-01,6.0750351957972726e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,0,128,96,16,8,4.0000000000000000e+00,5.0000000000000000e+00,4.9999999999999982e+00,3.5527136788005011e-16,4.4721359549995793e-01,2.2185804898282524e+00,1.9369676783701504e+00,4.0392685262817058e-16,1.1761969034414466e-01,4.1633363423443370e-17,1.9332805101069475e-15,True,Q_left D(kappa) Q_right^T,SP+ (compact QR),1.1761969034414461e-01,-4.1633363423443370e-17,True
synthetic,structured_low_rank_update,aggregate,N/A,42,0,128,96,16,8,4.0000000000000000e+00,7.5000000000000000e+00,7.5000000000000018e+00,2.3684757858670006e-16,3.6514837167011055e-01,2.5233165292629836e+00,2.1462872418595880e+00,4.3248418015120759e-16,1.1761969034414466e-01,4.1633363423443370e-17,1.1569824192115042e-15,True,Q_left D(kappa) Q_right^T,RBLA prefix,8.1469768324032155e-01,6.9707799289617689e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,0,128,96,16,8,4.0000000000000000e+00,7.5000000000000000e+00,7.5000000000000018e+00,2.3684757858670006e-16,3.6514837167011055e-01,2.5233165292629836e+00,2.1462872418595880e+00,4.3248418015120759e-16,1.1761969034414466e-01,4.1633363423443370e-17,1.1569824192115042e-15,True,Q_left D(kappa) Q_right^T,SP+ (compact QR),1.1761969034414461e-01,-4.1633363423443370e-17,True
