dataset,model,layer,checkpoint,seed,gauge_seed,trial,gauge_type,condition_number,R,r,full_update_error,dense_optimal_error,sp_plus_dense_error_gap,singular_value_gap,compact_path_no_dense_intermediate,d_out,d_in,spectrum,method,broadcast_error,numerical_checks_passed
synthetic,structured_low_rank_update,aggregate,N/A,42,42,0,permutation,1.0000000000000000e+00,16,1,1.8172808096652557e-16,7.6587522244111828e-01,0.0000000000000000e+00,2.3407166163535187e-01,True,128,96,exp(-4*i/(R-1)),RBLA prefix,9.9153793288138115e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,42,0,permutation,1.0000000000000000e+00,16,1,1.8172808096652557e-16,7.6587522244111828e-01,0.0000000000000000e+00,2.3407166163535187e-01,True,128,96,exp(-4*i/(R-1)),SP+ (compact QR),7.6587522244111828e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,42,0,permutation,1.0000000000000000e+00,16,2,1.8172808096652557e-16,5.8653618158978293e-01,0.0000000000000000e+00,1.7928211885461642e-01,True,128,96,exp(-4*i/(R-1)),RBLA prefix,9.9146799257612228e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,42,0,permutation,1.0000000000000000e+00,16,2,1.8172808096652557e-16,5.8653618158978293e-01,0.0000000000000000e+00,1.7928211885461642e-01,True,128,96,exp(-4*i/(R-1)),SP+ (compact QR),5.8653618158978293e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,42,0,permutation,1.0000000000000000e+00,16,3,1.8172808096652557e-16,4.4915411831938662e-01,5.5511151231257827e-17,1.3731725539281042e-01,True,128,96,exp(-4*i/(R-1)),RBLA prefix,9.9087729236241329e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,42,0,permutation,1.0000000000000000e+00,16,3,1.8172808096652557e-16,4.4915411831938662e-01,5.5511151231257827e-17,1.3731725539281042e-01,True,128,96,exp(-4*i/(R-1)),SP+ (compact QR),4.4915411831938667e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,42,0,permutation,1.0000000000000000e+00,16,4,1.8172808096652557e-16,3.4390159360426859e-01,1.1102230246251565e-16,1.0517517725180980e-01,True,128,96,exp(-4*i/(R-1)),RBLA prefix,9.8986956934751202e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,42,0,permutation,1.0000000000000000e+00,16,4,1.8172808096652557e-16,3.4390159360426859e-01,1.1102230246251565e-16,1.0517517725180980e-01,True,128,96,exp(-4*i/(R-1)),SP+ (compact QR),3.4390159360426847e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,42,0,permutation,1.0000000000000000e+00,16,5,1.8172808096652557e-16,2.6324948526250513e-01,5.5511151231257827e-17,8.0556648749685322e-02,True,128,96,exp(-4*i/(R-1)),RBLA prefix,9.8814943083868034e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,42,0,permutation,1.0000000000000000e+00,16,5,1.8172808096652557e-16,2.6324948526250513e-01,5.5511151231257827e-17,8.0556648749685322e-02,True,128,96,exp(-4*i/(R-1)),SP+ (compact QR),2.6324948526250519e-01,True
