dataset,model,layer,checkpoint,seed,gauge_seed,trial,gauge_type,condition_number,d_out,d_in,R,r,normalized_rank,alpha,spectrum,full_update_error,dense_optimal_error,sp_plus_dense_error_gap,compact_path_no_dense_intermediate,method,broadcast_error,excess_error,numerical_checks_passed
synthetic,structured_low_rank_update,aggregate,N/A,42,42,0,permutation,1.0000000000000000e+00,128,96,16,1,6.2500000000000000e-02,5.0000000000000000e-01,normalized exp(-alpha*i/(R-1)),1.8283257539971235e-16,9.4956012145392210e-01,1.1102230246251565e-16,True,RBLA prefix,9.6648005273780180e-01,1.6919931283879697e-02,True
synthetic,structured_low_rank_update,aggregate,N/A,42,42,0,permutation,1.0000000000000000e+00,128,96,16,1,6.2500000000000000e-02,5.0000000000000000e-01,normalized exp(-alpha*i/(R-1)),1.8283257539971235e-16,9.4956012145392210e-01,1.1102230246251565e-16,True,SP+ (compact QR),9.4956012145392221e-01,1.1102230246251565e-16,True
synthetic,structured_low_rank_update,aggregate,N/A,42,42,0,permutation,1.0000000000000000e+00,128,96,16,2,1.2500000000000000e-01,5.0000000000000000e-01,normalized exp(-alpha*i/(R-1)),1.8283257539971235e-16,8.9981709600872983e-01,2.2204460492503131e-16,True,RBLA prefix,9.4758010515625424e-01,4.7763009147524405e-02,True
synthetic,structured_low_rank_update,aggregate,N/A,42,42,0,permutation,1.0000000000000000e+00,128,96,16,2,1.2500000000000000e-01,5.0000000000000000e-01,normalized exp(-alpha*i/(R-1)),1.8283257539971235e-16,8.9981709600872983e-01,2.2204460492503131e-16,True,SP+ (compact QR),8.9981709600873006e-01,2.2204460492503131e-16,True
synthetic,structured_low_rank_update,aggregate,N/A,42,42,0,permutation,1.0000000000000000e+00,128,96,16,3,1.8750000000000000e-01,5.0000000000000000e-01,normalized exp(-alpha*i/(R-1)),1.8283257539971235e-16,8.5065276938674994e-01,2.2204460492503131e-16,True,RBLA prefix,9.2232150434226512e-01,7.1668734955515179e-02,True
synthetic,structured_low_rank_update,aggregate,N/A,42,42,0,permutation,1.0000000000000000e+00,128,96,16,3,1.8750000000000000e-01,5.0000000000000000e-01,normalized exp(-alpha*i/(R-1)),1.8283257539971235e-16,8.5065276938674994e-01,2.2204460492503131e-16,True,SP+ (compact QR),8.5065276938675016e-01,2.2204460492503131e-16,True
synthetic,structured_low_rank_update,aggregate,N/A,42,42,0,permutation,1.0000000000000000e+00,128,96,16,4,2.5000000000000000e-01,5.0000000000000000e-01,normalized exp(-alpha*i/(R-1)),1.8283257539971235e-16,8.0193501861545324e-01,3.3306690738754696e-16,True,RBLA prefix,8.9453328019424272e-01,9.2598261578789476e-02,True
synthetic,structured_low_rank_update,aggregate,N/A,42,42,0,permutation,1.0000000000000000e+00,128,96,16,4,2.5000000000000000e-01,5.0000000000000000e-01,normalized exp(-alpha*i/(R-1)),1.8283257539971235e-16,8.0193501861545324e-01,3.3306690738754696e-16,True,SP+ (compact QR),8.0193501861545358e-01,3.3306690738754696e-16,True
synthetic,structured_low_rank_update,aggregate,N/A,42,42,0,permutation,1.0000000000000000e+00,128,96,16,5,3.1250000000000000e-01,5.0000000000000000e-01,normalized exp(-alpha*i/(R-1)),1.8283257539971235e-16,7.5351295274183483e-01,3.3306690738754696e-16,True,RBLA prefix,8.6384146761111946e-01,1.1032851486928463e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,42,0,permutation,1.0000000000000000e+00,128,96,16,5,3.1250000000000000e-01,5.0000000000000000e-01,normalized exp(-alpha*i/(R-1)),1.8283257539971235e-16,7.5351295274183483e-01,3.3306690738754696e-16,True,SP+ (compact QR),7.5351295274183516e-01,3.3306690738754696e-16,True
