Config,{"general": {"device": "cuda:0", "training_rounds": 10}, "dataset": "mnist", "model": "simple_lora_mlp", "loss_function": "CrossEntropyLoss", "aggregation": "rbla_sasg", "client_selection": {"method": "random", "round": 1, "client_selection_round": 1, "number": 10, "random_seed": 42}, "hyperparameters": {"training_rounds": 10, "local_epochs": 5, "selected_clients": 10, "client_selection_round": 1, "client_selection_method": "random", "optimizer": "Adam", "lr": 0.001, "momentum": 0.9, "weight_decay": 0.0001, "nesterov": false, "batch_size": 64, "shuffle": true, "trainer_type": "standard", "rank_ratio_list": [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]}, "rank_distribution": {"rank_ratio_list": [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]}, "rank_ratio_list": [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0], "rank_ratio_list_str": "[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]", "epoch": 5, "batch_size": 64}

round,accuracy,average_loss,perplexity,precision,recall,f1_score,matthews_correlation,mcc,total_test_samples
0,0.5829,1.4642452882766723,4.324278424836331,0.5382434963067224,0.5757589188486578,0.4958545610428796,0.5534863603234169,0.5534863603234169,10000
1,0.7145,1.0243734040260315,2.785349624795148,0.6968210750032442,0.71062196584025,0.6410687555925095,0.695383902924,0.695383902924,10000
2,0.7577,0.8157682196617126,2.260911882330398,0.7169206443690708,0.7547458500919533,0.7080511446802511,0.7406551268931686,0.7406551268931686,10000
3,0.7857,0.6947072363853455,2.0031225466910803,0.7333638941400654,0.7838032253336518,0.743796550157673,0.7702426048493126,0.7702426048493126,10000
4,0.7947,0.6301282143115997,1.8778513312458107,0.7389789903102606,0.7931119707697987,0.7542580282536411,0.7798599778566305,0.7798599778566305,10000
5,0.7956,0.5972081809997558,1.8170388689269887,0.7379621590751003,0.7938598376570065,0.7536211201683407,0.7805250356531191,0.7805250356531191,10000
6,0.8044,0.5622198047161102,1.7545629678101569,0.8458133568322932,0.8031194199417916,0.7650007156199349,0.7903093733989018,0.7903093733989018,10000
7,0.8032,0.5569182307720184,1.7452856364554132,0.8437838805926201,0.801617979933462,0.763043982141548,0.788768668480744,0.788768668480744,10000
8,0.8091,0.5290587231636047,1.6973338953825379,0.8485144560344725,0.8077937032249316,0.7714720148556216,0.7951549485169026,0.7951549485169026,10000
9,0.8123,0.5290879685401917,1.6973835352773674,0.8530430599462324,0.81101834431612,0.7757937168527292,0.7989625581049282,0.7989625581049282,10000
10,0.8163,0.5111136581420899,1.6671467931033053,0.8548820891999254,0.8150301316935004,0.7813375953809907,0.8030371025596436,0.8030371025596436,10000
