method,training_seed,rank_assignment_seed,best_accuracy,best_round,final_accuracy,last5_accuracy,last5_loss,last5_macro_f1,last5_mcc,last5_tail_energy,last5_tail_risk,training_csv
gamma000,42,42,0.3217,7,0.1835,0.18474,5.969388070220947,0.08184185631773035,0.1643984169000295,0.4701882004737854,0.16118094046317263,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/mnist_p6_freeze_a_balanced_heterogeneous_gamma_0_00_-train-20260715_201044-18c894f210917dc1.csv
gamma050,42,42,0.7329,17,0.7174,0.72106,0.9652432455062866,0.7148096963969269,0.6967404625623136,0.22324113349119823,0.03569377326024797,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/mnist_p6_freeze_a_balanced_heterogeneous_gamma_0_50_-train-20260715_205354-481e6976b624ce59.csv
gamma000,42,43,0.2342,11,0.1986,0.19988,6.403463686828613,0.09784025957536886,0.1776623641303831,0.41592546304066974,0.1464109884272608,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p6_seedmatrix_gamma000_t42_r43_-train-20260715_211206-440b6f17d355a77d.csv
gamma050,42,43,0.7449,10,0.6806,0.68204,1.0398296673965453,0.6647355600229937,0.6598622516395449,0.22631916205088298,0.050748130175081785,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p6_seedmatrix_gamma050_t42_r43_-train-20260715_211646-7b08cbf16c4747eb.csv
gamma000,42,44,0.2088,1,0.1868,0.18689999999999998,6.106170230865478,0.06572337298402794,0.14336740166885922,0.44395798643430073,0.14830366556318197,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p6_seedmatrix_gamma000_t42_r44_-train-20260715_212028-91013fbb8b8f14cb.csv
gamma050,42,44,0.7032,24,0.6988,0.69698,1.047587476463318,0.6778007960777255,0.6734232693745458,0.21829388240973155,0.03866798545840294,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p6_seedmatrix_gamma050_t42_r44_-train-20260715_212411-4b73e25a86bf25ea.csv
gamma000,43,42,0.1904,13,0.1817,0.18252000000000002,6.385078549041748,0.08568772736605475,0.17094688720595808,0.46526562770207724,0.1651995286916941,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p6_seedmatrix_v2_gamma000_t43_r42_-train-20260715_213658-ffa13f52c7a4f53e.csv
gamma050,43,42,0.7532,20,0.7413,0.74202,0.9583076272201538,0.734085808810613,0.7154435289451067,0.21253156463305156,0.033773175503739435,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p6_seedmatrix_v2_gamma050_t43_r42_-train-20260715_214224-31cdfc666925c846.csv
gamma000,43,43,0.2443,13,0.234,0.23066,5.385061403656006,0.13952144998321336,0.21471776798367295,0.43191708326339723,0.1545096586518577,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p6_seedmatrix_v2_gamma000_t43_r43_-train-20260715_214607-4d41f6dbc3d58011.csv
gamma050,43,43,0.7058,11,0.6285,0.6387,1.0787340314674376,0.6312574258896214,0.6104798752872517,0.21996269822120668,0.04850685315147768,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p6_seedmatrix_v2_gamma050_t43_r43_-train-20260715_214944-076bd92adea6cb77.csv
gamma000,43,44,0.2134,11,0.1908,0.19154,5.074066014404297,0.07526541297852163,0.14999724636736927,0.44161585966746014,0.15547450282129974,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p6_seedmatrix_v2_gamma000_t43_r44_-train-20260715_215322-3413af4b4d78654a.csv
gamma050,43,44,0.7345,26,0.731,0.73032,1.0438042496490478,0.7172484903397975,0.7054773986172663,0.21180171072483062,0.03751314775625756,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p6_seedmatrix_v2_gamma050_t43_r44_-train-20260715_215704-d190282134177f31.csv
gamma000,44,42,0.1886,4,0.1828,0.1828,7.245973337097168,0.0823793858447095,0.1663598212491585,0.46126140157381695,0.15865486715587832,/Users/chensj/Documents/GitHub/usyd-learning-src/src/test/.training_results/p6_seedmatrix_v2_gamma000_t44_r42_-train-20260715_220053-34fa3cda2d164de0.csv
