method,best_truncation_ratio,best_accuracy,best_macro_f1,full_accuracy,full_macro_f1,accuracy_gain_over_full,macro_f1_gain_over_full
p9_p9_freeze_population_t42_r43,1.0,0.6875,0.6706433210074867,0.6875,0.6706433210074867,0.0,0.0
p9_p9_freeze_population_t42_r44,1.0,0.7385,0.7332646171688822,0.7385,0.7332646171688822,0.0,0.0
p9_p9_freeze_population_t43_r42,1.0,0.6764,0.6797886845700192,0.6764,0.6797886845700192,0.0,0.0
p9_p9_freeze_population_t43_r43,1.0,0.6041,0.5818748924542538,0.6041,0.5818748924542538,0.0,0.0
p9_p9_freeze_population_t43_r44,0.9,0.6887,0.6759683699861286,0.6883,0.6725074220837219,0.00039999999999995595,0.003460947902406697
p9_p9_freeze_population_t44_r42,1.0,0.6868,0.6803572685215169,0.6868,0.6803572685215169,0.0,0.0
p9_p9_freeze_population_t44_r43,1.0,0.6439,0.6199159516490864,0.6439,0.6199159516490864,0.0,0.0
p9_p9_freeze_population_t44_r44,0.8,0.6894,0.6670071394211466,0.6862,0.6662934244617837,0.0031999999999999806,0.0007137149593628989
p9_freeze_q_power_t42_r42,0.9,0.7523,0.7441270159896767,0.7174,0.7112198612747388,0.03489999999999993,0.03290715471493788
p9_freeze_q_power_t42_r43,0.8,0.7453,0.7392687691227975,0.6806,0.662471371225976,0.06469999999999998,0.0767973978968215
p9_freeze_q_power_t42_r44,0.7,0.7398,0.7285756657192715,0.6988,0.6793920827244964,0.041000000000000036,0.0491835829947751
p9_freeze_q_power_t43_r42,0.9,0.7468,0.7417875550315144,0.7413,0.7332030550004973,0.00550000000000006,0.008584500031017073
p9_freeze_q_power_t43_r43,0.9,0.6927,0.6898216470803549,0.6285,0.6181261855295019,0.06420000000000003,0.07169546155085293
p9_freeze_q_power_t43_r44,0.8,0.7499,0.7406740904866989,0.731,0.7178491462563605,0.018900000000000028,0.022824944230338318
p9_freeze_q_power_t44_r42,0.8,0.7422,0.7269956215100268,0.69,0.674458207108848,0.052200000000000024,0.05253741440117887
p9_freeze_q_power_t44_r43,0.8,0.6624,0.625895172446653,0.5695,0.5231752602553033,0.09289999999999998,0.1027199121913498
p9_freeze_q_power_t44_r44,0.7,0.7444,0.7343208657506295,0.6943,0.6729142860293323,0.05009999999999992,0.06140657972129715
p9_freeze_population_t42_r42,0.9,0.7208,0.71441997013563,0.7182,0.7127826704629365,0.0026000000000000467,0.0016372996726934375
