condition,alpha,rho,round,rank_ratio,client_index,weight,raw_residual,optimal_residual,spmi_abs,spmi_rel,layer_ranks,raw_loss,raw_accuracy,plus_loss,plus_accuracy
mnist_dirichlet_0_8_rho_pos05,0.8,0.5,1,0.9,0,0.11116666666666666,1.7307733019221272e-05,1.9262630138046132e-10,0.04576037877170613,0.9999888705065437,"{""_fc1.lora_A"": 144, ""_fc2.lora_A"": 144, ""_fc3.lora_A"": 10}",2.282911529541016,0.1605,2.282908676147461,0.16
mnist_dirichlet_0_8_rho_pos05,0.8,0.5,1,1.0,1,0.12138333333333333,0.0,0.0,0.0,0.0,"{""_fc1.lora_A"": 160, ""_fc2.lora_A"": 160, ""_fc3.lora_A"": 10}",2.282912033081055,0.16,2.282912033081055,0.16
mnist_dirichlet_0_8_rho_pos05,0.8,0.5,1,0.6,2,0.06723333333333334,4.592052102635368e-05,6.92357933618976e-09,0.12139354074866925,0.9998492268994026,"{""_fc1.lora_A"": 96, ""_fc2.lora_A"": 96, ""_fc3.lora_A"": 10}",2.2829080200195313,0.1605,2.2828916320800783,0.1605
mnist_dirichlet_0_8_rho_pos05,0.8,0.5,1,0.3,3,0.1356,7.952521576756475e-05,1.037206147637812e-07,0.2099869547202747,0.9986957518598009,"{""_fc1.lora_A"": 48, ""_fc2.lora_A"": 48, ""_fc3.lora_A"": 10}",2.282902404785156,0.1605,2.282840805053711,0.161
mnist_dirichlet_0_8_rho_pos05,0.8,0.5,1,0.4,4,0.09725,6.475260608733335e-05,4.088771034757359e-08,0.17109494917661527,0.9993685549846066,"{""_fc1.lora_A"": 64, ""_fc2.lora_A"": 64, ""_fc3.lora_A"": 10}",2.2829041137695314,0.1605,2.282866195678711,0.1605
mnist_dirichlet_0_8_rho_pos05,0.8,0.5,1,0.2,5,0.056216666666666665,9.761843163471058e-05,2.912486666032627e-07,0.25732880907940286,0.9970164582474228,"{""_fc1.lora_A"": 32, ""_fc2.lora_A"": 32, ""_fc3.lora_A"": 10}",2.2828999786376953,0.1605,2.2827900848388674,0.161
mnist_dirichlet_0_8_rho_pos05,0.8,0.5,1,0.1,6,0.0609,0.00011793480461097053,1.1615973981191478e-06,0.30874324549506416,0.9901505123788445,"{""_fc1.lora_A"": 16, ""_fc2.lora_A"": 16, ""_fc3.lora_A"": 10}",2.282900360107422,0.1605,2.2826396026611326,0.1625
mnist_dirichlet_0_8_rho_pos05,0.8,0.5,1,0.8,7,0.0881,2.720941565920373e-05,8.559079538034683e-10,0.07193824031513602,0.9999685436848581,"{""_fc1.lora_A"": 128, ""_fc2.lora_A"": 128, ""_fc3.lora_A"": 10}",2.282910446166992,0.1605,2.2829043731689453,0.1605
mnist_dirichlet_0_8_rho_pos05,0.8,0.5,1,0.7,8,0.15123333333333333,3.720267204019036e-05,2.6525829293809616e-09,0.09835522217677248,0.9999286991287476,"{""_fc1.lora_A"": 112, ""_fc2.lora_A"": 112, ""_fc3.lora_A"": 10}",2.2829093017578126,0.1605,2.282898910522461,0.1605
mnist_dirichlet_0_8_rho_pos05,0.8,0.5,1,0.5,9,0.11091666666666666,5.623946372471598e-05,1.6747669782723343e-08,0.14865039883427283,0.9997022078683983,"{""_fc1.lora_A"": 80, ""_fc2.lora_A"": 80, ""_fc3.lora_A"": 10}",2.282906890869141,0.1605,2.2828814697265627,0.1605
